date,location,total
2020-06-15,Opolskie,205
2020-06-15,Dolnośląskie,580
2020-06-15,Lubuskie,200
2020-06-15,Zachodniopomorskie,343
2020-06-15,Wielkopolskie,602
2020-06-15,Śląskie,987
2020-06-15,Małopolskie,594
2020-06-15,Kujawsko-Pomorskie,385
2020-06-22,Mazowieckie,597518
2020-06-22,Podlaskie,231
2020-06-22,Podkarpackie,409
2020-06-22,Lubelskie,434
2020-06-22,Świętokrzyskie,335
2020-06-22,Łódzkie,588
2020-06-22,Pomorskie,423
2020-06-22,Warmińsko-Mazurskie,253
2020-06-22,Kujawsko-Pomorskie,429
2020-06-22,Dolnośląskie,633
2020-06-22,Lubuskie,178
2020-06-22,Zachodniopomorskie,343
2020-06-22,Śląskie,998
2020-06-22,Małopolskie,613
2020-06-22,Opolskie,203
2020-06-22,Wielkopolskie,621
2020-06-29,Mazowieckie,603488
2020-06-29,Warmińsko-Mazurskie,261
2020-06-29,Podlaskie,235
2020-06-29,Podkarpackie,401
2020-06-29,Lubelskie,435
2020-06-29,Świętokrzyskie,258
2020-06-29,Łódzkie,615
2020-06-29,Pomorskie,429
2020-06-29,Kujawsko-Pomorskie,392
2020-06-29,Dolnośląskie,636
2020-06-29,Lubuskie,210
2020-06-29,Zachodniopomorskie,360
2020-06-29,Wielkopolskie,674
2020-06-29,Śląskie,953
2020-06-29,Małopolskie,599
2020-06-29,Opolskie,187
2020-07-06,Podlaskie,231
2020-07-06,Podkarpackie,371
2020-07-06,Lubelskie,402
2020-07-06,Świętokrzyskie,259
2020-07-06,Łódzkie,576
2020-07-06,Pomorskie,415
2020-07-06,Warmińsko-Mazurskie,257
2020-07-06,Mazowieckie,554489
2020-07-06,Opolskie,196
2020-07-06,Dolnośląskie,573
2020-07-06,Lubuskie,180
2020-07-06,Zachodniopomorskie,333
2020-07-06,Wielkopolskie,648
2020-07-06,Śląskie,906
2020-07-06,Małopolskie,598
2020-07-06,Kujawsko-Pomorskie,405
2020-07-13,Mazowieckie,586468
2020-07-13,Podlaskie,211
2020-07-13,Podkarpackie,382
2020-07-13,Lubelskie,438
2020-07-13,Świętokrzyskie,256
2020-07-13,Łódzkie,547
2020-07-13,Pomorskie,390
2020-07-13,Warmińsko-Mazurskie,266
2020-07-13,Kujawsko-Pomorskie,402
2020-07-13,Dolnośląskie,598
2020-07-13,Lubuskie,164
2020-07-13,Zachodniopomorskie,344
2020-07-13,Wielkopolskie,583
2020-07-13,Śląskie,953
2020-07-13,Małopolskie,573
2020-07-13,Opolskie,208
2020-07-20,Pomorskie,410
2020-07-20,Podlaskie,223
2020-07-20,Podkarpackie,384
2020-07-20,Lubelskie,418
2020-07-20,Świętokrzyskie,279
2020-07-20,Łódzkie,585
2020-07-20,Warmińsko-Mazurskie,283
2020-07-20,Mazowieckie,569499
2020-07-20,Opolskie,190
2020-07-20,Dolnośląskie,608
2020-07-20,Lubuskie,203
2020-07-20,Zachodniopomorskie,314
2020-07-20,Wielkopolskie,639
2020-07-20,Śląskie,1039
2020-07-20,Małopolskie,626
2020-07-20,Kujawsko-Pomorskie,385
2020-07-27,Podlaskie,210
2020-07-27,Podkarpackie,352
2020-07-27,Lubelskie,391
2020-07-27,Świętokrzyskie,267
2020-07-27,Łódzkie,565
2020-07-27,Pomorskie,419
2020-07-27,Warmińsko-Mazurskie,265
2020-07-27,Mazowieckie,559473
2020-07-27,Opolskie,186
2020-07-27,Dolnośląskie,558
2020-07-27,Lubuskie,210
2020-07-27,Zachodniopomorskie,330
2020-07-27,Wielkopolskie,636
2020-07-27,Śląskie,917
2020-07-27,Małopolskie,602
2020-07-27,Kujawsko-Pomorskie,367
2020-08-03,Mazowieckie,572509
2020-08-03,Podlaskie,235
2020-08-03,Podkarpackie,324
2020-08-03,Lubelskie,402
2020-08-03,Świętokrzyskie,260
2020-08-03,Łódzkie,570
2020-08-03,Pomorskie,443
2020-08-03,Warmińsko-Mazurskie,272
2020-08-03,Kujawsko-Pomorskie,452
2020-08-03,Dolnośląskie,609
2020-08-03,Lubuskie,186
