date,year,total,age,short,location,typ,country
2019-01-07,2019,1798.0,Y_GE80,NL,Holandia,C,Netherlands
2019-01-07,2019,593.0,Y_GE80,HR,Chorwacja,C,Croatia
2019-01-07,2019,663.0,Y_GE80,FI,Finlandia,C,Finland
2019-01-07,2019,5802.0,Y_GE80,ES,Hiszpania,C,Spain
2019-01-07,2019,1751.0,Y_GE80,EL,Grecja,C,Greece
2019-01-07,2019,166.0,Y_GE80,EE,Estonia,C,Estonia
2019-01-07,2019,573.0,Y_GE80,DK,Dania,C,Denmark
2019-01-07,2019,10722.0,Y_GE80,GE,Niemcy,C,Germany
2019-01-07,2019,1083.0,Y_GE80,CZ,Czechy,C,Czech Republic
2019-01-07,2019,80.0,Y_GE80,CY,Cypr,C,Cyprus
2019-01-07,2019,876.0,Y_GE80,CH,Szwajcaria,C,Switzerland
2019-01-07,2019,8110.0,Y_GE80,FR,Francja,C,France
2019-01-07,2019,518.0,Y_GE80,NO,Norwegia,C,Norway
2019-01-07,2019,3705.0,Y_GE80,PL,Polska,C,Poland
2019-01-07,2019,1599.0,Y_GE80,PT,Portugalia,C,Portugal
2019-01-07,2019,94.0,Y_LT20,FR,Francja,C,France
2019-01-07,2019,4.0,Y_LT20,FI,Finlandia,C,Finland
2019-01-07,2019,51.0,Y_LT20,ES,Hiszpania,C,Spain
2019-01-07,2019,14.0,Y_LT20,EL,Grecja,C,Greece
2019-01-07,2019,2.0,Y_LT20,EE,Estonia,C,Estonia
2019-01-07,2019,0.0,Y_LT20,DK,Dania,C,Denmark
2019-01-07,2019,92.0,Y_LT20,GE,Niemcy,C,Germany
2019-01-07,2019,10.0,Y_LT20,CZ,Czechy,C,Czech Republic
2019-01-07,2019,0.0,Y_LT20,CY,Cypr,C,Cyprus
2019-01-07,2019,9.0,Y_LT20,CH,Szwajcaria,C,Switzerland
2019-01-07,2019,12.0,Y_LT20,BG,Bułgaria,C,Bulgaria
2019-01-07,2019,14.0,Y_LT20,BE,Belgia,C,Belgium
2019-01-07,2019,11.0,Y_LT20,AT,Austria,C,Austria
2019-01-07,2019,8.0,Y_LT20,AL,Albania,C,Albania
2019-01-07,2019,7179.0,Y_GE80,UK,Wielka Brytania,C,United Kingdom
2019-01-07,2019,411.0,Y_GE80,SK,Słowacja,C,Slovakia
2019-01-07,2019,81.0,Y40-59,LV,Łotwa,C,Latvia
2019-01-07,2019,270.0,Y_GE80,SI,Słowenia,C,Slovenia
2019-01-07,2019,1187.0,Y_GE80,SE,Szwecja,C,Sweden
2019-01-07,2019,990.0,Y_GE80,RS,Serbia,C,Serbia
2019-01-07,2019,2434.0,Y_GE80,RO,Rumunia,C,Romania
2019-01-07,2019,1102.0,Y_GE80,BG,Bułgaria,C,Bulgaria
2019-01-07,2019,5.0,Y_LT20,HR,Chorwacja,C,Croatia
