JPT,powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,population,total_full,percent full,total_1d,nazwa,wojew,typ_p
JPT_3018022,ostrzeszowski,383,54,400,662,402,5373,1323,"24,6",1901,Doruchów,wielkopolskie,<20k
JPT_0604022,hrubieszowski,526,53,305,611,527,5265,1440,"27,4",2022,Dołhobyczów,lubelskie,<20k
JPT_0414022,świecki,486,130,567,919,664,7190,2179,"30,3",2766,Dragacz,kujawsko-pomorskie,<20k
JPT_3202033,choszczeński,455,82,402,669,576,4993,1693,"33,9",2184,Drawno,zachodniopomorskie,<20k
JPT_3002032,czarnkowsko-trzcianecki,464,58,451,739,517,5765,1584,"27,5",2229,Drawsko,wielkopolskie,<20k
JPT_3203023,drawski,1646,307,1389,2407,1747,17008,6373,"37,5",7496,Drawsko Pomorskie,zachodniopomorskie,<20k
JPT_0601042,bialski,395,39,257,444,329,5271,1243,"23,6",1464,Drelów,lubelskie,<20k
JPT_0806023,strzelecko-drezdenecki,1530,246,1313,2187,1542,17009,5179,"30,4",6818,Drezdenko,lubuskie,<20k
JPT_1419053,płocki,539,118,602,968,537,7811,1802,"23,1",2764,Drobin,mazowieckie,<20k
JPT_2010023,siemiatycki,648,29,366,539,462,6146,1670,"27,2",2044,Drohiczyn,podlaskie,<20k
JPT_1001032,bełchatowski,390,47,319,548,426,5220,1399,"26,8",1730,Drużbice,łódzkie,<20k
JPT_1201032,bocheński,496,55,535,775,487,6494,1716,"26,4",2348,Drwinia,małopolskie,<20k
JPT_1007023,opoczyński,1063,132,912,1405,886,10384,3250,"31,3",4398,Drzewica,łódzkie,<20k
JPT_0414032,świecki,312,80,353,601,359,4889,1182,"24,2",1705,Drzycim,kujawsko-pomorskie,<20k
JPT_2818022,gołdapski,271,32,175,327,232,2857,798,"27,9",1037,Dubeninki,warmińsko-mazurskie,<20k
JPT_2005052,hajnowski,213,7,41,120,87,1433,423,"29,5",468,Dubicze Cerkiewne,podlaskie,<20k
JPT_1813022,przemyski,656,80,534,941,543,9139,2224,"24,3",2754,Dubiecko,podkarpackie,<20k
JPT_0603052,chełmski,223,10,126,266,255,2310,747,"32,3",880,Dubienka,lubelskie,<20k
JPT_1807023,krośnieński (podkarpackie),967,125,807,1327,989,14476,3554,"24,6",4215,Dukla,podkarpackie,<20k
JPT_3024022,szamotulski,635,199,1031,1397,763,9179,2709,"29,5",4025,Duszniki,wielkopolskie,<20k
JPT_0208011,kłodzki,562,54,279,547,421,4422,1573,"35,6",1863,Duszniki-Zdrój,dolnośląskie,<20k
JPT_2609022,sandomierski,827,84,660,1188,813,8650,3069,"35,5",3572,Dwikozy,świętokrzyskie,<20k
JPT_1802032,brzozowski,357,45,385,632,397,7886,1559,"19,8",1816,Dydnia,podkarpackie,<20k
JPT_3208022,kołobrzeski,472,114,581,931,618,5609,2247,"40,1",2716,Dygowo,zachodniopomorskie,<20k
JPT_1816011,rzeszowski,437,76,438,649,459,6063,1763,"29,1",2059,Dynów,podkarpackie,<20k
JPT_2814042,olsztyński,779,297,1303,2238,1163,12274,4626,"37,7",5780,Dywity,warmińsko-mazurskie,<20k
JPT_2010032,siemiatycki,255,21,128,235,165,2688,615,"22,9",804,Dziadkowice,podlaskie,<20k
JPT_0214042,oleśnicki,297,58,349,522,347,4598,1239,"26,9",1573,Dziadowa Kłoda,dolnośląskie,<20k
JPT_2803011,działdowski,1895,432,2225,3491,2467,21145,7978,"37,7",10510,Działdowo,warmińsko-mazurskie,20k-50k
JPT_2608013,pińczowski,583,53,435,671,501,4836,1623,"33,6",2243,Działoszyce,świętokrzyskie,<20k
JPT_1009013,pajęczański,1044,168,1215,1803,1181,12346,4573,37,5411,Działoszyn,łódzkie,<20k
JPT_2206022,kościerski,264,88,413,639,342,4425,1258,"28,4",1746,Dziemiany,pomorskie,<20k
JPT_1413022,mławski,276,54,236,391,248,3039,797,"26,2",1205,Dzierzgowo,mazowieckie,<20k
JPT_2216013,sztumski,607,140,764,1098,836,9210,2606,"28,3",3445,Dzierzgoń,pomorskie,<20k
JPT_0607032,kraśnicki,398,43,330,561,415,5236,1443,"27,6",1747,Dzierzkowice,lubelskie,<20k
JPT_1420052,płoński,271,41,278,419,270,3586,977,"27,2",1279,Dzierzążnia,mazowieckie,<20k
JPT_0202021,dzierżoniowski,4045,510,2492,4131,3314,32869,11485,"34,9",14492,Dzierżoniów,dolnośląskie,20k-50k
JPT_1806062,kolbuszowski,281,31,246,392,235,6480,958,"14,8",1185,Dzikowiec,podkarpackie,<20k
JPT_3207013,kamieński,441,85,368,688,481,3939,1705,"43,3",2063,Dziwnów,zachodniopomorskie,<20k
JPT_0605032,janowski,422,17,263,471,306,6161,1202,"19,5",1479,Dzwola,lubelskie,<20k
JPT_3009043,kolski,514,48,460,666,508,6251,1581,"25,3",2196,Dąbie,wielkopolskie,<20k
JPT_0802042,krośnieński (lubuskie),306,66,422,695,483,4923,1588,"32,3",1972,Dąbie,lubuskie,<20k
JPT_0409012,mogileński,310,58,359,542,354,4607,1040,"22,6",1623,Dąbrowa,kujawsko-pomorskie,<20k
JPT_1609022,opolski (opolskie),627,124,749,1138,743,8252,2970,36,3381,Dąbrowa,opolskie,<20k
JPT_2011013,sokólski,1044,66,712,1227,929,11169,3281,"29,4",3978,Dąbrowa Białostocka,podlaskie,<20k
JPT_0407022,inowrocławski,424,119,525,813,492,5094,1830,"35,9",2373,Dąbrowa Biskupia,kujawsko-pomorskie,<20k
JPT_0403022,bydgoski,533,175,759,1185,720,8415,2498,"29,7",3372,Dąbrowa Chełmińska,kujawsko-pomorskie,<20k
JPT_2465000,Dąbrowa Górnicza,12636,2416,11580,19367,14460,118285,49876,"42,2",60460,Dąbrowa Górnicza,śląskie,>100k
JPT_1204023,dąbrowski,1283,185,1367,1999,1265,21187,4802,"22,7",6099,Dąbrowa Tarnowska,małopolskie,20k-50k
JPT_2404022,częstochowski,370,23,225,473,364,3848,1068,"27,8",1455,Dąbrowa Zielona,śląskie,<20k
JPT_1002032,kutnowski,162,14,141,200,156,1897,485,"25,6",673,Dąbrowice,łódzkie,<20k
JPT_1434052,wołomiński,497,127,715,1101,664,8188,2181,"26,6",3104,Dąbrówka,mazowieckie,<20k
JPT_2815022,ostródzki,303,74,330,571,348,4235,1145,27,1626,Dąbrówno,warmińsko-mazurskie,<20k
JPT_1412052,miński,672,184,1057,1664,766,10684,3180,"29,8",4343,Dębe Wielkie,mazowieckie,<20k
JPT_1803011,dębicki,3890,523,3405,5326,4179,45189,15310,"33,9",17323,Dębica,podkarpackie,20k-50k
JPT_0616011,rycki,1750,276,1602,2345,1776,15887,6339,"39,9",7749,Dęblin,lubelskie,<20k
JPT_2212032,słupski,676,158,734,1288,845,9495,2769,"29,2",3701,Dębnica Kaszubska,pomorskie,<20k
