date,reproduction_rate,epiestim,location
2020-05-02,0.9027,0.9166,Polska
2020-05-03,0.9057,0.8656,Polska
2020-05-04,0.9301,0.8921,Polska
2020-05-05,0.9805,0.9917,Polska
2020-05-06,0.9366,0.9912,Polska
2020-05-07,0.9462,1.0047,Polska
2020-05-08,0.9998,1.042,Polska
2020-05-09,1.0079,1.0084,Polska
2020-05-10,1.0189,1.0732,Polska
2020-05-11,1.0239,1.0796,Polska
2020-05-12,1.0858,1.0939,Polska
2020-05-13,1.0798,1.0901,Polska
2020-05-14,1.114,1.1242,Polska
2020-05-15,1.124,1.1435,Polska
2020-05-16,1.0916,1.0551,Polska
2020-05-17,1.0492,1.021,Polska
2020-05-18,1.0542,0.9884,Polska
2020-05-19,0.9699,0.899,Polska
2020-05-20,1.0356,0.9724,Polska
2020-05-21,1.0272,0.9972,Polska
2020-05-22,1.0506,1.0145,Polska
2020-05-23,1.0738,1.1195,Polska
2020-05-24,1.1002,1.0888,Polska
2020-05-25,1.0804,1.0863,Polska
2020-05-26,1.0921,1.0805,Polska
2020-05-27,1.0476,1.0228,Polska
2020-05-28,1.0214,0.9714,Polska
2020-05-29,0.9652,0.926,Polska
2020-05-30,1.0069,0.9405,Polska
2020-05-31,0.9522,0.914,Polska
2020-06-01,0.9727,0.944,Polska
2020-06-02,0.8951,0.9142,Polska
2020-06-03,0.8681,0.8408,Polska
2020-06-04,0.8911,0.8922,Polska
2020-06-05,0.9188,0.8921,Polska
2020-06-06,1.0017,1.0422,Polska
2020-06-07,1.1381,1.252,Polska
2020-06-08,1.1992,1.3476,Polska
2020-06-09,1.2374,1.4023,Polska
2020-06-10,1.2091,1.3032,Polska
2020-06-11,1.1806,1.1354,Polska
2020-06-12,1.1616,1.0553,Polska
2020-06-13,1.0788,0.9577,Polska
2020-06-14,0.9925,0.8973,Polska
2020-06-15,0.9221,0.8335,Polska
2020-06-16,0.9356,0.832,Polska
2020-06-17,1.0021,0.9248,Polska
2020-06-18,0.9861,0.9742,Polska
2020-06-19,0.9794,1.0403,Polska
2020-06-20,0.9346,0.9879,Polska
2020-06-21,0.9195,0.9058,Polska
2020-06-22,0.8927,0.8843,Polska
2020-06-23,0.8667,0.853,Polska
2020-06-24,0.8261,0.836,Polska
2020-06-25,0.8369,0.8472,Polska
2020-06-26,0.8312,0.8544,Polska
2020-06-27,0.8568,0.8979,Polska
2020-06-28,0.8234,0.9081,Polska
2020-06-29,0.8233,0.8959,Polska
2020-06-30,0.8177,0.8954,Polska
2020-07-01,0.8857,0.9331,Polska
2020-07-02,0.9396,1.0304,Polska
2020-07-03,0.9359,1.0431,Polska
2020-07-04,0.9434,1.0745,Polska
2020-07-05,0.9665,1.0455,Polska
2020-07-06,0.9505,0.9828,Polska
2020-07-07,0.9659,1.0045,Polska
2020-07-08,0.9193,0.9546,Polska
2020-07-09,0.8786,0.8835,Polska
2020-07-10,0.8973,0.905,Polska
2020-07-11,0.9088,0.8925,Polska
2020-07-12,0.9905,1.0141,Polska
2020-07-13,1.0377,1.1274,Polska
2020-07-14,1.0379,1.1292,Polska
2020-07-15,1.0264,1.1276,Polska
2020-07-16,1.0586,1.0835,Polska
2020-07-17,1.094,1.0767,Polska
2020-07-18,1.0962,1.088,Polska
2020-07-19,1.0736,1.0891,Polska
2020-07-20,1.0543,1.0428,Polska
2020-07-21,1.1086,1.0612,Polska
2020-07-22,1.147,1.0971,Polska
2020-07-23,1.1613,1.1414,Polska
2020-07-24,1.1798,1.1997,Polska
2020-07-25,1.2513,1.237,Polska
2020-07-26,1.2462,1.213,Polska
2020-07-27,1.24,1.1952,Polska
2020-07-28,1.2394,1.1866,Polska
2020-07-29,1.2509,1.1314,Polska
2020-07-30,1.2787,1.1655,Polska
2020-07-31,1.2969,1.209,Polska
2020-08-01,1.261,1.1928,Polska
2020-08-02,1.2545,1.1767,Polska
2020-08-03,1.2947,1.1785,Polska
2020-08-04,1.2977,1.163,Polska
2020-08-05,1.286,1.1743,Polska
2020-08-06,1.2637,1.1711,Polska
2020-08-07,1.2536,1.1399,Polska
2020-08-08,1.2535,1.1357,Polska
2020-08-09,1.2362,1.1198,Polska
2020-08-10,1.2127,1.1019,Polska
2020-08-11,1.1489,1.038,Polska
2020-08-12,1.1433,1.0137,Polska
2020-08-13,1.1381,1.0153,Polska
2020-08-14,1.1181,1.0109,Polska
2020-08-15,1.0818,1.0231,Polska
2020-08-16,1.0651,1.0012,Polska
2020-08-17,1.0517,0.9793,Polska
2020-08-18,1.0555,0.984,Polska
2020-08-19,1.0514,1.0024,Polska
2020-08-20,1.0333,0.9996,Polska
2020-08-21,1.0426,1.0191,Polska
2020-08-22,1.0619,1.0358,Polska
2020-08-23,1.0524,1.029,Polska
2020-08-24,1.0371,1.0286,Polska
2020-08-25,1.067,1.0474,Polska
2020-08-26,1.0559,1.0196,Polska
2020-08-27,1.0717,1.0459,Polska
2020-08-28,1.0375,1.0334,Polska
2020-08-29,1.0042,0.9733,Polska
2020-08-30,1.0135,0.984,Polska
2020-08-31,1.0032,0.9531,Polska
2020-09-01,0.9593,0.9327,Polska
2020-09-02,0.9375,0.9322,Polska
2020-09-03,0.8903,0.8692,Polska
2020-09-04,0.8867,0.8574,Polska
2020-09-05,0.8631,0.8554,Polska
2020-09-06,0.8384,0.8386,Polska
2020-09-07,0.8097,0.8455,Polska
2020-09-08,0.7966,0.8304,Polska
2020-09-09,0.7805,0.8269,Polska
2020-09-10,0.7852,0.8407,Polska
2020-09-11,0.796,0.8596,Polska
2020-09-12,0.8342,0.9054,Polska
2020-09-13,0.8692,0.9703,Polska
2020-09-14,0.8992,1.0238,Polska
2020-09-15,0.9669,1.1181,Polska
2020-09-16,1.0192,1.1606,Polska
2020-09-17,1.1046,1.2374,Polska
2020-09-18,1.1293,1.258,Polska
2020-09-19,1.2045,1.2971,Polska
2020-09-20,1.2691,1.3435,Polska
2020-09-21,1.3223,1.3256,Polska
2020-09-22,1.2988,1.2999,Polska
2020-09-23,1.3338,1.269,Polska
2020-09-24,1.3299,1.226,Polska
2020-09-25,1.4272,1.2947,Polska
2020-09-26,1.4391,1.3747,Polska
2020-09-27,1.4343,1.3622,Polska
2020-09-28,1.4577,1.3863,Polska
2020-09-29,1.4871,1.3106,Polska
2020-09-30,1.4869,1.2864,Polska
2020-10-01,1.5057,1.3192,Polska
2020-10-02,1.4746,1.3156,Polska
2020-10-03,1.4614,1.3127,Polska
2020-10-04,1.4459,1.295,Polska
2020-10-05,1.4459,1.2597,Polska
2020-10-06,1.4628,1.2617,Polska
2020-10-07,1.5099,1.2998,Polska
2020-10-08,1.589,1.4217,Polska
