bin,date,type,count
3,2020-10-26,H,45
2,2020-10-26,H,25
1,2020-10-26,H,23
7,2020-10-27,H,307
5,2020-10-27,H,79
4,2020-10-27,H,72
3,2020-10-27,H,55
6,2020-10-27,H,50
1,2020-10-27,H,37
2,2020-10-27,H,32
7,2020-10-28,H,273
5,2020-10-28,H,77
4,2020-10-28,H,76
3,2020-10-28,H,59
6,2020-10-28,H,53
1,2020-10-28,H,29
2,2020-10-28,H,23
7,2020-10-29,H,280
5,2020-10-29,H,91
4,2020-10-29,H,57
3,2020-10-29,H,52
6,2020-10-29,H,52
2,2020-10-29,H,30
1,2020-10-29,H,19
7,2020-10-30,H,287
5,2020-10-30,H,89
4,2020-10-30,H,63
6,2020-10-30,H,52
3,2020-10-30,H,45
1,2020-10-30,H,25
2,2020-10-30,H,15
7,2020-10-31,H,248
5,2020-10-31,H,78
4,2020-10-31,H,50
6,2020-10-31,H,48
3,2020-10-31,H,40
1,2020-10-31,H,22
2,2020-10-31,H,18
7,2020-11-01,H,278
5,2020-11-01,H,66
6,2020-11-01,H,48
4,2020-11-01,H,46
3,2020-11-01,H,40
2,2020-11-01,H,15
1,2020-11-01,H,10
7,2020-11-02,H,299
5,2020-11-02,H,86
4,2020-11-02,H,61
6,2020-11-02,H,55
3,2020-11-02,H,45
1,2020-11-02,H,25
2,2020-11-02,H,23
7,2020-11-03,H,312
5,2020-11-03,H,85
4,2020-11-03,H,69
6,2020-11-03,H,49
3,2020-11-03,H,46
1,2020-11-03,H,24
2,2020-11-03,H,21
7,2020-11-04,H,330
5,2020-11-04,H,95
4,2020-11-04,H,71
6,2020-11-04,H,55
3,2020-11-04,H,49
2,2020-11-04,H,28
1,2020-11-04,H,22
7,2020-11-05,H,324
5,2020-11-05,H,95
4,2020-11-05,H,60
6,2020-11-05,H,57
3,2020-11-05,H,50
1,2020-11-05,H,31
2,2020-11-05,H,20
7,2020-11-06,H,330
5,2020-11-06,H,81
4,2020-11-06,H,70
3,2020-11-06,H,59
6,2020-11-06,H,56
2,2020-11-06,H,28
1,2020-11-06,H,26
7,2020-11-07,H,284
5,2020-11-07,H,69
4,2020-11-07,H,55
6,2020-11-07,H,47
3,2020-11-07,H,44
2,2020-11-07,H,19
1,2020-11-07,H,17
7,2020-11-08,H,259
5,2020-11-08,H,69
6,2020-11-08,H,50
4,2020-11-08,H,40
3,2020-11-08,H,37
1,2020-11-08,H,19
2,2020-11-08,H,18
7,2020-11-09,H,313
5,2020-11-09,H,79
6,2020-11-09,H,57
4,2020-11-09,H,56
3,2020-11-09,H,42
2,2020-11-09,H,22
1,2020-11-09,H,20
7,2020-11-10,H,329
5,2020-11-10,H,82
4,2020-11-10,H,62
6,2020-11-10,H,57
3,2020-11-10,H,50
1,2020-11-10,H,31
2,2020-11-10,H,17
7,2020-11-11,H,258
5,2020-11-11,H,62
4,2020-11-11,H,50
6,2020-11-11,H,50
3,2020-11-11,H,22
2,2020-11-11,H,20
1,2020-11-11,H,16
7,2020-11-12,H,335
5,2020-11-12,H,78
4,2020-11-12,H,57
3,2020-11-12,H,53
6,2020-11-12,H,48
1,2020-11-12,H,30
2,2020-11-12,H,18
7,2020-11-13,H,333
5,2020-11-13,H,82
6,2020-11-13,H,56
4,2020-11-13,H,54
3,2020-11-13,H,38
2,2020-11-13,H,23
1,2020-11-13,H,22
7,2020-11-14,H,296
5,2020-11-14,H,70
6,2020-11-14,H,42
4,2020-11-14,H,40
3,2020-11-14,H,32
2,2020-11-14,H,20
1,2020-11-14,H,18
7,2020-11-15,H,283
4,2020-11-15,H,61
5,2020-11-15,H,61
3,2020-11-15,H,41
6,2020-11-15,H,39
1,2020-11-15,H,21
2,2020-11-15,H,15
7,2020-11-16,H,305
5,2020-11-16,H,74
4,2020-11-16,H,56
6,2020-11-16,H,56
3,2020-11-16,H,36
1,2020-11-16,H,23
2,2020-11-16,H,19
7,2020-11-17,H,318
5,2020-11-17,H,68
4,2020-11-17,H,57
3,2020-11-17,H,46
6,2020-11-17,H,46
1,2020-11-17,H,21
2,2020-11-17,H,15
7,2020-11-18,H,321
5,2020-11-18,H,81
6,2020-11-18,H,54
4,2020-11-18,H,49
3,2020-11-18,H,38
2,2020-11-18,H,26
1,2020-11-18,H,24
7,2020-11-19,H,310
5,2020-11-19,H,69
4,2020-11-19,H,55
6,2020-11-19,H,42
3,2020-11-19,H,38
1,2020-11-19,H,18
2,2020-11-19,H,13
7,2020-11-20,H,306
5,2020-11-20,H,73
6,2020-11-20,H,50
4,2020-11-20,H,48
3,2020-11-20,H,38
1,2020-11-20,H,29
2,2020-11-20,H,24
7,2020-11-21,H,247
5,2020-11-21,H,51
4,2020-11-21,H,38
6,2020-11-21,H,38
3,2020-11-21,H,25
1,2020-11-21,H,18
2,2020-11-21,H,13
7,2020-11-22,H,227
5,2020-11-22,H,50
6,2020-11-22,H,41
4,2020-11-22,H,30
3,2020-11-22,H,24
1,2020-11-22,H,16
2,2020-11-22,H,6
7,2020-11-23,H,288
5,2020-11-23,H,75
6,2020-11-23,H,47
4,2020-11-23,H,46
3,2020-11-23,H,27
1,2020-11-23,H,17
2,2020-11-23,H,15
7,2020-11-24,H,282
5,2020-11-24,H,65
6,2020-11-24,H,47
4,2020-11-24,H,41
3,2020-11-24,H,31
2,2020-11-24,H,24
1,2020-11-24,H,18
7,2020-11-25,H,306
5,2020-11-25,H,62
4,2020-11-25,H,48
6,2020-11-25,H,46
3,2020-11-25,H,39
1,2020-11-25,H,19
2,2020-11-25,H,15
7,2020-11-26,H,286
5,2020-11-26,H,63
6,2020-11-26,H,42
4,2020-11-26,H,40
3,2020-11-26,H,37
1,2020-11-26,H,23
2,2020-11-26,H,18
7,2020-11-27,H,292
5,2020-11-27,H,67
6,2020-11-27,H,45
4,2020-11-27,H,37
3,2020-11-27,H,26
1,2020-11-27,H,20
2,2020-11-27,H,17
7,2020-11-28,H,268
5,2020-11-28,H,46
6,2020-11-28,H,36
4,2020-11-28,H,35
3,2020-11-28,H,31
2,2020-11-28,H,20
1,2020-11-28,H,13
7,2020-11-29,H,208
5,2020-11-29,H,43
6,2020-11-29,H,33
4,2020-11-29,H,31
3,2020-11-29,H,22
1,2020-11-29,H,14
2,2020-11-29,H,13
7,2020-11-30,H,268
5,2020-11-30,H,63
6,2020-11-30,H,47
4,2020-11-30,H,45
3,2020-11-30,H,26
1,2020-11-30,H,20
2,2020-11-30,H,14
7,2020-12-01,H,285
5,2020-12-01,H,70
4,2020-12-01,H,54
6,2020-12-01,H,42
3,2020-12-01,H,31
1,2020-12-01,H,23
2,2020-12-01,H,20
7,2020-12-02,H,267
5,2020-12-02,H,64
6,2020-12-02,H,49
3,2020-12-02,H,40
4,2020-12-02,H,39
1,2020-12-02,H,20
2,2020-12-02,H,16
7,2020-12-03,H,269
5,2020-12-03,H,55
6,2020-12-03,H,39
4,2020-12-03,H,37
3,2020-12-03,H,33
2,2020-12-03,H,20
1,2020-12-03,H,17
7,2020-12-04,H,278
5,2020-12-04,H,55
6,2020-12-04,H,54
4,2020-12-04,H,40
3,2020-12-04,H,34
2,2020-12-04,H,23
1,2020-12-04,H,15
7,2020-12-05,H,209
5,2020-12-05,H,54
6,2020-12-05,H,36
4,2020-12-05,H,31
3,2020-12-05,H,23
2,2020-12-05,H,20
1,2020-12-05,H,18
7,2020-12-06,H,216
5,2020-12-06,H,37
4,2020-12-06,H,32
6,2020-12-06,H,32
3,2020-12-06,H,28
1,2020-12-06,H,15
2,2020-12-06,H,9
7,2020-12-07,H,241
5,2020-12-07,H,59
6,2020-12-07,H,51
4,2020-12-07,H,32
1,2020-12-07,H,25
3,2020-12-07,H,25
2,2020-12-07,H,17
7,2020-12-08,H,243
5,2020-12-08,H,57
4,2020-12-08,H,42
6,2020-12-08,H,37
3,2020-12-08,H,35
2,2020-12-08,H,17
1,2020-12-08,H,16
7,2020-12-09,H,258
5,2020-12-09,H,68
4,2020-12-09,H,42
6,2020-12-09,H,40
3,2020-12-09,H,26
1,2020-12-09,H,19
2,2020-12-09,H,16
7,2020-12-10,H,258
5,2020-12-10,H,64
6,2020-12-10,H,44
4,2020-12-10,H,41
3,2020-12-10,H,26
2,2020-12-10,H,19
1,2020-12-10,H,12
7,2020-12-11,H,275
5,2020-12-11,H,67
6,2020-12-11,H,48
4,2020-12-11,H,37
3,2020-12-11,H,33
2,2020-12-11,H,25
1,2020-12-11,H,16
7,2020-12-12,H,231
5,2020-12-12,H,66
4,2020-12-12,H,40
6,2020-12-12,H,34
1,2020-12-12,H,15
2,2020-12-12,H,15
3,2020-12-12,H,14
7,2020-12-13,H,218
6,2020-12-13,H,36
5,2020-12-13,H,35
4,2020-12-13,H,31
3,2020-12-13,H,26
1,2020-12-13,H,17
2,2020-12-13,H,7
7,2020-12-14,H,248
5,2020-12-14,H,58
6,2020-12-14,H,40
3,2020-12-14,H,37
4,2020-12-14,H,35
2,2020-12-14,H,17
1,2020-12-14,H,11
7,2020-12-15,H,245
5,2020-12-15,H,61
6,2020-12-15,H,42
4,2020-12-15,H,39
3,2020-12-15,H,33
1,2020-12-15,H,16
2,2020-12-15,H,13
7,2020-12-16,H,248
5,2020-12-16,H,54
4,2020-12-16,H,39
3,2020-12-16,H,36
6,2020-12-16,H,35
2,2020-12-16,H,20
1,2020-12-16,H,12
7,2020-12-17,H,245
5,2020-12-17,H,64
6,2020-12-17,H,43
4,2020-12-17,H,30
3,2020-12-17,H,27
2,2020-12-17,H,17
1,2020-12-17,H,14
7,2020-12-18,H,275
5,2020-12-18,H,65
4,2020-12-18,H,45
6,2020-12-18,H,38
3,2020-12-18,H,28
2,2020-12-18,H,20
1,2020-12-18,H,10
7,2020-12-19,H,220
5,2020-12-19,H,36
4,2020-12-19,H,34
6,2020-12-19,H,29
3,2020-12-19,H,19
2,2020-12-19,H,12
1,2020-12-19,H,6
7,2020-12-20,H,197
6,2020-12-20,H,38
5,2020-12-20,H,35
4,2020-12-20,H,31
