,date,new_cases,total_cases,new_deaths,total_deaths,new_recoveries,total_recoveries,total_active,total_tests,new_tests,new_deaths_c,new_deaths_nc,new_tests_poz,new_quarantine,new_vaccinations,total_vaccinations,people_fully_vaccinated,people_vaccinated,wojew,area,population,Continent_Name,Lat,Long,mobility,icu_patients,hosp_patients,reproduction_rate,location,total_quarantine,total_nadzor,double_days,zapadalnosc,umieralnosc,smiertelnosc,wyzdrawialnosc,positive_rate,CFR,kwarantanna,mort,new_excess,total_excess,iso_code,icu_admissions,dynamikaI,hosp_admissions
1732,2020-12-24,399.0,29515.0,7.0,637.0,245.0,24983.0,3895.0,104933.0,1304.0,5.0,2.0,394.0,5862.0,18.0,124.0,0.0,124.0,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,64.06,53.0,547.875,1.0152,Lubuskie,,,39.0,2909.2,62.8,2.2,84.6,30.6,2.4863387978142075,31.5,46.46938775510204,16.23037676609105,1347.1970172684453,0,0.0,0.0,0.0
1733,2020-12-25,351.0,29866.0,1.0,638.0,315.0,25298.0,3930.0,105928.0,995.0,1.0,0.0,217.0,5912.0,18.0,124.0,0.0,124.0,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,81.82,61.0,571.5,0.9795,Lubuskie,,,39.0,2943.8,62.9,2.1,84.7,35.3,2.459901295496607,30.43,46.38775510204082,16.14874411302983,1363.345761381475,0,0.0,0.0,0.0
1734,2020-12-26,111.0,29977.0,0.0,638.0,437.0,25735.0,3604.0,106311.0,383.0,0.0,0.0,8.0,5546.0,18.0,124.0,0.0,124.0,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,106.42,56.0,550.125,0.8523,Lubuskie,,,40.0,2954.7,62.9,2.1,85.8,29.0,2.419140787927047,26.27,46.30612244897959,16.067111459968604,1379.4128728414437,0,0.0,0.0,0.0
1735,2020-12-27,65.0,30042.0,0.0,638.0,313.0,26048.0,3356.0,106656.0,345.0,0.0,0.0,3.0,5246.0,18.0,124.0,0.0,124.0,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,122.87,59.0,596.25,0.7498,Lubuskie,,,41.0,2961.1,62.9,2.1,86.7,18.8,2.390766694146744,22.7,46.224489795918366,15.985478806907377,1395.398351648351,0,0.0,0.0,0.0
1736,2020-12-28,49.0,30091.0,0.0,638.0,422.0,26470.0,2983.0,107027.0,371.0,0.0,0.0,12.0,4894.0,201.0,1531.0,0.0,1531.0,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,116.16,57.0,546.75,0.7058,Lubuskie,,,42.0,2966.0,62.9,2.1,88.0,13.2,2.3535487678913976,20.95,46.142857142857146,15.903846153846157,1411.3021978021973,0,0.0,0.0,0.0
1737,2020-12-29,208.0,30299.0,1.0,639.0,318.0,26788.0,2872.0,108323.0,1296.0,1.0,0.0,863.0,5248.0,201.0,1531.0,0.0,1531.0,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,117.13,53.0,542.25,0.772,Lubuskie,,,43.0,2986.5,63.0,2.1,88.4,16.0,2.3298209793269407,21.83,46.61224489795918,16.37323390894819,1427.6754317111454,0,0.0,0.0,0.0
1738,2020-12-30,349.0,30648.0,11.0,650.0,238.0,27026.0,2972.0,109795.0,1472.0,11.0,0.0,525.0,5136.0,201.0,1531.0,0.0,1531.0,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,114.87,55.0,500.625,0.8128,Lubuskie,,,44.0,3020.9,64.1,2.1,88.2,23.7,2.3486052897817604,21.57,47.08163265306122,16.84262166405023,1444.5180533751957,0,0.0,0.0,0.0
1739,2020-12-31,493.0,31141.0,15.0,665.0,164.0,27190.0,3286.0,111329.0,1534.0,12.0,3.0,472.0,5217.0,201.0,1531.0,0.0,1531.0,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,86.41,54.0,488.25,0.9113,Lubuskie,,,44.0,3069.4,65.5,2.1,87.3,32.1,2.387363130497218,22.9,47.55102040816326,17.31200941915227,1461.830062794348,0,0.0,0.0,0.0
1740,2021-01-01,343.0,31484.0,17.0,682.0,408.0,27598.0,3204.0,112637.0,1308.0,15.0,2.0,384.0,5376.0,201.0,1531.0,0.0,1531.0,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,59.18,57.0,471.79600000000005,0.9276,Lubuskie,,,44.0,3103.3,67.2,2.2,87.7,26.2,2.4115983026874113,22.78,48.02040816326531,17.78139717425432,1479.6114599686023,0,0.0,0.0,0.0
1741,2021-01-02,113.0,31597.0,3.0,685.0,425.0,28023.0,2889.0,113219.0,582.0,3.0,0.0,5.0,5032.0,201.0,1531.0,0.0,1531.0,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,102.42,59.0,489.375,0.9341,Lubuskie,,,45.0,3114.4,67.5,2.2,88.7,19.4,2.3860944684408527,22.81,48.48979591836735,18.25078492935636,1497.8622448979586,0,0.0,0.0,0.0
