Type,Day cases,Report Date,School Name,Address 1,County,Local Authority,Eircode,Region,Roll Number,Lat,Long
Primary,1,17.04.2021,Marist National School,"Crumlin, D12",Dublin,Dublin City Council,D12YP98,Dublin,18386B,-6.3161673,53.3202316
Primary,1,17.04.2021,Castaheany Educate Together NS,Dublin 15,Dublin,Fingal County Council,D15AE61,Dublin,20186F,-6.287101473674747,53.40642945
Secondary,1,17.04.2021,Old Bawn Comm. School,"Tallaght, D24",Dublin,South Dublin County Council,D24HP38,Dublin,91336W,-6.3746438,53.2874685
Primary,1,17.04.2021,Scoil Chroi Naofa,Athenry,Galway,Galway County Council,H65C860,Connacht,16071M,-8.7468297,53.2991901
Primary,1,17.04.2021,Athenry Boys NS,Athenry,Galway,Galway County Council,H65R921,Connacht,17280D,-8.7468297,53.2991901
Secondary,1,17.04.2021,Coláiste Íosagáin,Portarlington,Laois,Laois County Council,R32HV25,Leinster,68068R,-7.191111,53.162222
Pre-school,1,17.04.2021,Bo Peep Kidz* (not a school),Drumshanbo,Leitrim,Leitrim County Council,,Connacht,Creche37,-8.0401507,54.0467406
Secondary,1,17.04.2021,Ardscoil Mhuire,Limerick City,Limerick,Limerick City Council,V94X47D,Munster,64290V,-8.6301239,52.661252
Secondary,2,17.04.2021,Coláiste Nano Nagle,Limerick City,Limerick,Limerick City Council,V94YW24,Munster,64250J,-8.6301239,52.661252
Primary,1,17.04.2021,Le Chéile National School,Limerick,Limerick,Limerick County Council,V94X2TR,Munster,20459O,-8.6301239,52.661252
Secondary,1,17.04.2021,Sacred Heart Secondary School,Drogheda,Louth,Louth County Council,A92K796,Leinster,63860I,-6.3524183,53.7149877
Primary,1,17.04.2021,Gaelscoil Na Mí,Ashbourne,Meath,Meath County Council,A84R667,Leinster,20382F,-6.3981743,53.5116146
Secondary,1,17.04.2021,Colaiste De Lacy,Ashbourne,Meath,Meath County Council,A84VF79,Leinster,76196W,-6.3981743,53.5116146
Secondary,1,17.04.2021,St Mary's Secondary School,Edenderry,Offaly,Offaly County Council,R45TY36,Leinster,65582Q,-7.0488576,53.3433656
Primary,5,17.04.2021,St Joseph's NS,MILLTOWNPASS,Westmeath,Westmeath County Council,N91D792,Leinster,16304J,-7.2441662,53.4420544
Secondary,1,16.04.2021,Tullow Comm. School,Tullow,Carlow,Carlow County Council,R93DT20,Leinster,91356F,-6.7377301,52.803146
Secondary,1,16.04.2021,Bailieborough Community School,Bailieborough,Cavan,Cavan County Council,A82P585,Ulster,91351S,,
Secondary,1,16.04.2021,Loreto College,Cavan,Cavan,Cavan County Council,H12WV60,Ulster,61070P,-7.3601614,53.9911167
Secondary,1,16.04.2021,St Mogue's College,Bawnboy,Cavan,Cavan County Council,H14VW13,Ulster,70360C,,
Primary,1,16.04.2021,St Brendan's NS,Cork,Cork,Cork City Council,T23AK29,Munster,19427R,-8.4705942,51.898627
Primary,1,16.04.2021,Lurgybrack NS,Letterkenny,Donegal,Donegal County Council,F92HP82,Ulster,16672P,-7.7378749,54.9493649
Primary,1,16.04.2021,Gaelscoil Bhaile Munna,"Ballymun, D9",Dublin,Dublin City Council,D09TY74,Dublin,20015B,-6.2581262,53.4093217
Secondary,1,16.04.2021,Dominican College Sion Hill,Blackrock,Dublin,Dun Laoghaire Rathdown,A94TP97,Dublin,60070K,-6.1788342,53.3018639
Secondary,1,16.04.2021,Balbriggan Comm. College,Balbriggan,Dublin,Fingal County Council,K32HE19,Dublin,70010V,-6.1861964,53.609832
Primary,1,16.04.2021,St Molaga's Senior NS,Balbriggan,Dublin,Fingal County Council,K32Y662,Dublin,16970A,-6.1861964,53.609832
Primary,1,16.04.2021,St Patrick's Jnr Mixed,Skerries,Dublin,Fingal County Council,K34D799,Dublin,16333Q,-6.1066867,53.5806379
Primary,1,16.04.2021,Gaelscoil Mhic Amhlaigh,Cnoc na Cathrach,Galway,Galway City Council,H91FV4D,Connacht,19994G,-9.1090937,53.2687291
Primary,1,16.04.2021,Scoil Chroi Naofa,Athenry,Galway,Galway County Council,H65C860,Connacht,16071M,-8.7468297,53.2991901
Secondary,1,16.04.2021,Coláiste Íosagáin,Portarlington,Laois,Laois County Council,R32HV25,Leinster,68068R,-7.191111,53.162222
Secondary,1,16.04.2021,Meán Scoil Muire,Longford Town,Longford,Longford County Council,N39H6R2,Leinster,63760E,-7.8726908,53.7061441
Secondary,1,16.04.2021,Coláiste Choilm,Tullamore,Offaly,Offaly County Council,R35WF97,Leinster,65610S,-7.4928384,53.2743191
Primary,1,16.04.2021,Gaelscoil An Eiscir Riada,Tullamore,Offaly,Offaly County Council,R35YP90,Leinster,19990V,-7.4928384,53.2743191
Secondary,1,16.04.2021,Oaklands Comm. College,Edenderry,Offaly,Offaly County Council,R45R727,Leinster,72540O,-7.0488576,53.3433656
Secondary,1,16.04.2021,St Mary's Secondary School,Edenderry,Offaly,Offaly County Council,R45TY36,Leinster,65582Q,-7.0488576,53.3433656
Primary,1,16.04.2021,Scoil Bhríde Primary School,Edenderry,Offaly,Offaly County Council,R45X951,Leinster,20267F,-7.0488576,53.3433656
Primary,1,16.04.2021,St Cóman's Wood Primary School,Roscommon,Roscommon,Roscommon County Council,F42YH60,Connacht,20498B,-8.19068,53.6312446
Secondary,1,16.04.2021,Our Lady's Secondary School,Templemore,Tipperary,Tipperary (NR) County Council,E41EA48,Munster,65440T,-7.833889,52.794722
Secondary,1,16.04.2021,St Mary's Secondary School,Nenagh,Tipperary,Tipperary (NR) County Council,E45PX63,Munster,65380E,-8.196667,52.861944
Primary,1,16.04.2021,Glor Na Mara NS,Tramore,Waterford,Waterford County Council,X91Y924,Munster,20116H,-7.1496198989537,52.1835974
Secondary,1,16.04.2021,C.B.S. Mullingar,Mullingar,Westmeath,Westmeath County Council,N91AT04,Leinster,63270K,-7.3415454,53.5263035
Primary,2,16.04.2021,St Mary's Primary School,Mullingar,Westmeath,Westmeath County Council,N91HE22,Leinster,18381O,-7.3415454,53.5263035
Secondary,1,16.04.2021,Mercy Kilbeggan,Kilbeggan,Westmeath,Westmeath County Council,N91K123,Leinster,63221U,-7.495045761088901,53.36645955
Secondary,1,16.04.2021,Creagh College,Gorey,Wexford,Wexford County Council,Y25V6Y9,Leinster,76127D,-6.296367241943167,52.6769779
Pre-school,1,15.04.2021,Tots to Teens* (not a school),Tullow,Carlow,Carlow County Council,,Leinster,Creche34,-6.7377301,52.803146
Primary,1,15.04.2021,Holy Family Junior School,Ennis,Clare,Clare County Council,V95YR79,Munster,17957N,-8.983747,52.8435152
Primary,1,15.04.2021,Scoil Naomh Brid,Lifford,Donegal,Donegal County Council,F93YV78,Ulster,19280N,-7.483095,54.832219
Primary,1,15.04.2021,Castaheany Educate Together NS,Dublin 15,Dublin,Fingal County Council,D15AE61,Dublin,20186F,-6.287101473674747,53.40642945
Primary,1,15.04.2021,Thornleigh Educate Together National School,Swords,Dublin,Fingal County Council,K67PH68,Dublin,20302E,-6.2184562,53.4598264
Secondary,1,15.04.2021,Old Bawn Comm. School,"Tallaght, D24",Dublin,South Dublin County Council,D24HP38,Dublin,91336W,-6.3746438,53.2874685
Secondary,1,15.04.2021,Heywood Comm. School,Portlaoise,Laois,Laois County Council,R32FE04,Leinster,91427C,-7.3013754,53.0368853
Primary,1,15.04.2021,Askeaton Senior NS,ASKEATON,Limerick,Limerick County Council,V94HD30,Munster,18530F,-8.975556,52.599722
Primary,1,15.04.2021,Daingean NS,Daingean,Offaly,Offaly County Council,R35AH95,Leinster,16620T,-7.2922288,53.2973447
Secondary,1,15.04.2021,Coláiste Choilm,Tullamore,Offaly,Offaly County Council,R35WF97,Leinster,65610S,-7.4928384,53.2743191
Primary,1,15.04.2021,St Joseph's NS,MILLTOWNPASS,Westmeath,Westmeath County Council,N91D792,Leinster,16304J,-7.2441662,53.4420544
Primary,1,14.04.2021,St Philip The Apostle Junior NS,"Clonsilla, D15",Dublin,Fingal County Council,D15V124,Dublin,19601H,-6.423507,53.3827908
Primary,1,14.04.2021,Charleville NS,Tullamore,Offaly,Offaly County Council,R35CX20,Leinster,10353P,-7.4928384,53.2743191
Secondary,1,14.04.2021,Coláiste Choilm,Tullamore,Offaly,Offaly County Council,R35WF97,Leinster,65610S,-7.4928384,53.2743191
Secondary,1,13.04.2021,Tullow Comm. School,Tullow,Carlow,Carlow County Council,R93DT20,Leinster,91356F,-6.7377301,52.803146
Secondary,1,13.04.2021,St Mogue's College,Bawnboy,Cavan,Cavan County Council,H14VW13,Ulster,70360C,,
Pre-school,1,13.04.2021,Learning Circle* (not a school),"Baldoyle, D13",Dublin,Dublin City Council,D13X2N4,Dublin,Creche33,-6.1285497,53.3958303
Primary,15,13.04.2021,S N Iosef Naofa,Roscrea,Tipperary,Tipperary (Nr) County Council,E53Y449,Munster,18345K,-7.788687666946512,52.942640999999995
Pre-school,1,12.04.2021,Tots to Teens* (not a school),Tullow,Carlow,Carlow County Council,,Leinster,Creche34,-6.7377301,52.803146
Primary,1,12.04.2021,Salesian Primary School,Limerick City,Limerick,Limerick City Council,V94RR99,Munster,20496U,-8.6301239,52.661252
Pre-school,1,8.04.2021,Little Acorns Montessori* (not a school),Carndonagh,Donegal,Donegal County Council,F93XDD1,Ulster,Creche35,,
Primary,3,8.04.2021,Scoil Santain NS,"Tallaght, D24",Dublin,South Dublin County Council,D24TW35,Dublin,19646G,-6.3746438,53.2874685
Primary,1,8.04.2021,Dunboyne Junior NS,Dunboyne,Meath,Meath County Council,A86HW57,Leinster,20032B,-6.4760189,53.4194359
Pre-school,1,5.04.2021,Fairyhouse Crèche* (not a school),Clarinbridge,Galway,,,Connacht,Creche36,-8.8803111,53.2277017
Pre-school,1,3.04.2021,Learning Circle* (not a school),"Baldoyle, D13",Dublin,Dublin City Council,D13X2N4,Dublin,Creche33,-6.1285497,53.3958303
Primary,12,2.04.2021,CRC Special School,"Clontarf, D3",Dublin,Dublin City Council,D03K298,Dublin,18317F,-6.2400266,53.3665746
Primary,1,2.04.2021,St John Bosco SBS,Dublin 7,Dublin,Dublin City Council,D07V654,Dublin,17912O,-6.2602732,53.3497645
Primary,1,2.04.2021,Belmayne ETNS,Dublin 13,Dublin,Dublin City Council,D13DA58,Dublin,20308Q,-6.162400642418439,53.39687754275643
Primary,1,2.04.2021,St Patrick's De La Salle BNS,Castlebar,Mayo,Mayo County Council,F23K389,Connacht,18542M,-9.297967,53.8568418
Primary,1,2.04.2021,Dean Kelly NS,Athlone,Westmeath,Westmeath County Council,N37X273,Leinster,16639R,-7.942705,53.4230832
Primary,1,2.04.2021,Castlebridge NS,Castlebridge,Wexford,Wexford County Council,Y35Y208,Leinster,18707S,-6.4503235,52.3827773
Primary,1,1.04.2021,Ardattin NS,Ardattin,Carlow,Carlow County Council,R93WC03,Leinster,18024N,-6.704205085410756,52.75801815
Primary,1,1.04.2021,Lissycasey NS,Ennis,Clare,Clare County Council,V95DH58,Munster,18555V,-8.983747,52.8435152
Secondary,1,1.04.2021,St Francis College,Rochestown,Cork,Cork County Council,T12TK82,Munster,62460K,-8.4023724,51.8752284
Primary,1,1.04.2021,St Vincent's Primary School,"Glasnevin, D11",Dublin,Dublin City Council,D11HX78,Dublin,17214N,-6.2662007,53.3782873
Primary,1,1.04.2021,Holy Trinity National School,"Leopardstown, D18",Dublin,Dun Laoghaire Rathdown,D18YV91,Dublin,20190T,-6.1927577,53.2747217
Primary,1,1.04.2021,St Francis Xavier JNS,"Castleknock, D15",Dublin,Fingal County Council,D15CX84,Dublin,19435Q,-6.3714239,53.3815285
Primary,1,1.04.2021,Scoil Thomais,"Castleknock, D15",Dublin,Fingal County Council,D15VW02,Dublin,19769W,-6.3714239,53.3815285
Secondary,1,1.04.2021,Newbridge College,Newbridge,Kildare,Kildare County Council,W12C241,Leinster,61680T,-6.7982137,53.180124
Primary,1,1.04.2021,Scoil Mhuire,Newbridge,Kildare,Kildare County Council,W12HD29,Leinster,19452Q,-6.7982137,53.180124
Primary,1,1.04.2021,Askeaton Senior NS,ASKEATON,Limerick,Limerick County Council,V94HD30,Munster,18530F,-8.975556,52.599722
Primary,1,1.04.2021,Scoil Eimear,TEMPLEMICHAEL,Longford,Longford County Council,N39ND29,Leinster,19753H,-6.1589513,52.841377
Primary,1,1.04.2021,St Oliver's Primary School,Drogheda,Louth,Louth County Council,A92NV26,Leinster,20349H,-6.3524183,53.7149877
Primary,1,1.04.2021,St Joseph's NS,Ballinrobe,Mayo,Mayo County Council,F31E406,Connacht,20089H,-9.2207207,53.6227775
Pre-school,1,1.04.2021,The Grange Childcare* (not a school),Drogheda,Meath,Meath County Council,A92P8FP,Leinster,Creche32,-6.3524183,53.7149877
Primary,1,1.04.2021,St Joseph's Mercy PS,Navan,Meath,Meath County Council,C15EA40,Leinster,16100Q,-6.6833615,53.651908
Pre-school,1,1.04.2021,Cuddles and Care Crèche* (not a school),Cloonfad,Roscommon,Roscommon County Council,F35N288,Connacht,Creche31,-8.752333,53.686962
Primary,1,1.04.2021,St Etchen's National School,Kinnegad,Westmeath,Westmeath County Council,N91CV96,Leinster,19848S,-7.1011946,53.4548146
Primary,3,31.03.2021,St Columba's GNS with Facility for Deaf Children,Douglas West,Cork,Cork County Council,T12WK3D,Munster,05508O,-8.4397421,51.8738756
Primary,1,31.03.2021,Scoil Mhuire,Ramelton,Donegal,Donegal County Council,F92XHW5,Ulster,19491D,,
Pre-school,1,31.03.2021,Holy Child Pre-School* (not a school),"Mountjoy, D1",Dublin,Dublin City Council,D01F228,Dublin,Creche29,-6.268058857312325,53.36186885
Primary,3,31.03.2021,CRC Special School,"Clontarf, D3",Dublin,Dublin City Council,D03K298,Dublin,18317F,-6.2400266,53.3665746
Secondary,1,31.03.2021,Coláiste Mhuire,"Cabra, D7",Dublin,Dublin City Council,D07CY97,Dublin,60450U,-6.2817747,53.3641011
Primary,1,31.03.2021,Taney Parish Primary School,"Dundrum, D14",Dublin,Dun Laoghaire Rathdown,D14PN29,Dublin,15284B,-6.245421301180873,53.29313120428456
Primary,1,31.03.2021,St Bernadette's Junior NS,"Clondalkin, D22",Dublin,South Dublin County Council,D22CD39,Dublin,19743E,-6.3942689,53.3219624
Primary,1,31.03.2021,St Kevin's Girls,"Tallaght, D24",Dublin,South Dublin County Council,D24R6PT,Dublin,19466E,-6.3746438,53.2874685
Pre-school,1,31.03.2021,Little Acorns Community Playschool* (not a school),Headford,Galway,,,Connacht,Creche30,-9.1070527,53.4693403
Primary,1,31.03.2021,Robertstown NS,Robertstown,Kildare,Kildare County Council,W91D403,Leinster,18430B,-6.8161946,53.2697889
Primary,1,31.03.2021,Mayo Abbey NS,Claremorris,Mayo,Mayo County Council,F12T256,Connacht,14205U,-8.9987858,53.7197301
Secondary,1,31.03.2021,St Gerald's College,Castlebar,Mayo,Mayo County Council,F23WV66,Connacht,64580H,-9.297967,53.8568418
Primary,1,31.03.2021,Dunboyne Junior NS,Dunboyne,Meath,Meath County Council,A86HW57,Leinster,20032B,-6.4760189,53.4194359
Primary,1,31.03.2021,Mullingar ETNS,Mullingar,Westmeath,Westmeath County Council,N91N722,Leinster,20188J,-7.3415454,53.5263035
Primary,1,30.03.2021,Parteen NS,Parteen,Clare,Clare County Council,V94EY64,Munster,16946D,-8.6153829,52.6957346
Primary,1,30.03.2021,Gardiner Street Convent,"Belvedere Court, D1",Dublin,Dublin City Council,D01H9C5,Dublin,12448N,-6.2586226,53.3578991
Secondary,1,30.03.2021,St Laurence College,Dublin 18,Dublin,Dun Laoghaire Rathdown,D18AK07,Dublin,60262T,-6.183345330490052,53.24093525
Primary,1,30.03.2021,Bracken Educate Together NS,Balbriggan,Dublin,Fingal County Council,K32YE94,Dublin,20282B,-6.1861964,53.609832
Primary,1,30.03.2021,Holywell Educate Together National School,Swords,Dublin,Fingal County Council,K67AP99,Dublin,20348F,-6.2184562,53.4598264
Primary,1,30.03.2021,Thornleigh Educate Together National School,Swords,Dublin,Fingal County Council,K67PH68,Dublin,20302E,-6.2184562,53.4598264
Primary,1,30.03.2021,Tallaght Comm. NS,"Tallaght, D24",Dublin,South Dublin County Council,D24YD74,Dublin,19582G,-6.3746438,53.2874685
Primary,1,30.03.2021,Scoil Chrónáin,Rathcoole,Dublin,South Dublin County Council,D24YW81,Dublin,19503H,-6.4679425,53.2813003
Primary,1,30.03.2021,CBS Primary School Tralee,Tralee,Kerry,Kerry County Council,V92FD62,Munster,18247K,-9.7054085,52.2692835
Secondary,1,30.03.2021,Coláiste Nano Nagle,Limerick City,Limerick,Limerick City Council,V94YW24,Munster,64250J,-8.6301239,52.661252
Primary,1,30.03.2021,Scoil Bhride,Tullamore,Offaly,Offaly County Council,R35N406,Leinster,18524K,-7.4928384,53.2743191
Primary,1,29.03.2021,Parteen NS,Parteen,Clare,Clare County Council,V94EY64,Munster,16946D,-8.6153829,52.6957346
Primary,1,29.03.2021,Scoil Seanain Naofa,Clonlara,Clare,Clare County Council,V94FP92,Munster,04548V,-8.553889,52.722222
Primary,1,29.03.2021,Scoil Naomh Fiachra,Letterkenny,Donegal,Donegal County Council,F92WD21,Ulster,12077E,-7.7378749,54.9493649
Pre-school,1,29.03.2021,ABA Preschool Academy* (not a school),"Tallaght, D24",Dublin,,,Dublin,Creche28,-6.3746438,53.2874685
Primary,1,29.03.2021,Holy Family School For The Deaf,"Cabra, D7",Dublin,Dublin City Council,D07TH79,Dublin,20495S,-6.2817747,53.3641011
Primary,2,29.03.2021,St Patrick's Jnr Mixed,Skerries,Dublin,Fingal County Council,K34D799,Dublin,16333Q,-6.1066867,53.5806379
Secondary,1,29.03.2021,St Joseph's Secondary School,Rush,Dublin,Fingal County Council,K56A308,Dublin,60343T,-6.0908956,53.5220444
Primary,1,29.03.2021,St Cronan's SNS,Swords,Dublin,Fingal County Council,K67CH99,Dublin,19535U,-6.2184562,53.4598264
Primary,1,29.03.2021,St Mark's Sen NS,"Tallaght, D24",Dublin,South Dublin County Council,D24FV07,Dublin,19390U,-6.3746438,53.2874685
Primary,3,29.03.2021,St Martin De Porres NS,"Tallaght, D24",Dublin,South Dublin County Council,D24HF54,Dublin,19617W,-6.3746438,53.2874685
Primary,1,29.03.2021,Citywest & Saggart Community National School,"Citywest, D24",Dublin,South Dublin County Council,D24R920,Dublin,20398U,-6.2588127,53.3398632
Primary,1,29.03.2021,Trinity Primary School,Tuam,Galway,Galway County Council,,Connacht,20547L,-8.8512875,53.5147915
Primary,1,29.03.2021,Scoil Bhride,Kill,Kildare,Kildare County Council,W91PF85,Leinster,17662R,-6.589208,53.2487139
Pre-school,2,29.03.2021,Early Years Montessori* (not a school),Stradbally,Laois,Laois County Council,R32X6T7,Leinster,Creche27,-7.1499661,53.0160548
Primary,1,29.03.2021,St Oliver's Primary School,Drogheda,Louth,Louth County Council,A92NV26,Leinster,20349H,-6.3524183,53.7149877
Secondary,1,29.03.2021,Davitt College,Castlebar,Mayo,Mayo County Council,F23VY15,Connacht,76060U,-9.297967,53.8568418
Primary,1,29.03.2021,St Patrick's NS,Stamullen,Meath,Meath County Council,K32KR96,Leinster,18044T,-6.2622712,53.6285486
Secondary,1,29.03.2021,Oaklands Comm. College,Edenderry,Offaly,Offaly County Council,R45R727,Leinster,72540O,-7.0488576,53.3433656
Secondary,2,29.03.2021,C.B.S. Thurles,Thurles,Tipperary,Tipperary (NR) County Council,E41HX75,Munster,65450W,-7.8151008,52.6801547
Primary,1,29.03.2021,St Paul's NS,Athlone,Westmeath,Westmeath County Council,N37E973,Leinster,18405C,-7.942705,53.4230832
Primary,1,28.03.2021,St Columba's GNS with Facility for Deaf Children,Douglas West,Cork,Cork County Council,T12WK3D,Munster,05508O,-8.4397421,51.8738756
Primary,1,28.03.2021,Scoil Naomh Fiachra,Letterkenny,Donegal,Donegal County Council,F92WD21,Ulster,12077E,-7.7378749,54.9493649
Primary,3,28.03.2021,CRC Special School,"Clontarf, D3",Dublin,Dublin City Council,D03K298,Dublin,18317F,-6.2400266,53.3665746
Secondary,1,28.03.2021,St Louis High School,"Rathmines, D6",Dublin,Dublin City Council,D06F860,Dublin,60890C,-6.2676273,53.3206853
Primary,1,28.03.2021,Lindsay Road NS,"Glasnevin, D9",Dublin,Dublin City Council,D09YH93,Dublin,16177F,-6.2662007,53.3782873
Primary,2,28.03.2021,St Vincent's Primary School,"Glasnevin, D11",Dublin,Dublin City Council,D11HX78,Dublin,17214N,-6.2662007,53.3782873
Primary,1,28.03.2021,Scoil Mhuire JNS,"Mulhuddart, D15",Dublin,Fingal County Council,D15F293,Dublin,19605P,-6.4134298,53.4060962
Primary,1,28.03.2021,Malahide / Portmarnock ETNS,Dublin 17,Dublin,Fingal County Council,D17DR97,Dublin,20445D,-6.209491170965708,53.400360750000004
Primary,1,28.03.2021,St Bernadette's Junior NS,"Clondalkin, D22",Dublin,South Dublin County Council,D22CD39,Dublin,19743E,-6.3942689,53.3219624
Primary,1,28.03.2021,Firhouse Educate Together National School,"Firhouse, D24",Dublin,South Dublin County Council,D24FW9Y,Dublin,20411J,-6.3252417,53.2809921
Primary,1,28.03.2021,Holy Family NS,Rathcoole,Dublin,South Dublin County Council,D24XH22,Dublin,13217W,-6.4679425,53.2813003
Secondary,1,28.03.2021,Tarbert Comp. School,Listowel,Kerry,Kerry County Council,V31WD66,Munster,81006S,-9.4846811,52.4472298
Primary,1,28.03.2021,St Oliver's NS,Killarney,Kerry,Kerry County Council,V93W594,Munster,19512I,-9.505322,52.0595746
Primary,1,28.03.2021,Gaelscoil Chill Dara,Newbridge,Kildare,Kildare County Council,R56PR22,Leinster,20023A,-6.7982137,53.180124
Primary,1,28.03.2021,Gathabawn NS,Gathabawn,Kilkenny,Kilkenny County Council,E41WD59,Leinster,17374M,,
Pre-school,3,28.03.2021,The Village Creche* (not a school),Ballyroan,Laois,Laois County Council,,Leinster,Creche25,-6.2990387,53.2901086
Primary,1,28.03.2021,Holy Family Junior Sch,Portlaoise,Laois,Laois County Council,R32CY05,Leinster,20270R,-7.3013754,53.0368853
Secondary,1,28.03.2021,St Oliver's Comm. College,Drogheda,Louth,Louth County Council,A92D766,Leinster,71761C,-6.3524183,53.7149877
Primary,1,28.03.2021,Lisaniska NS,Foxford,Mayo,Mayo County Council,F26EY28,Connacht,16021U,-9.116667,53.983333
Pre-school,1,28.03.2021,Coisceimeanna Comm. Childcare* (not a school),Trim,Meath,Meath County Council,C15Y32F,Leinster,Creche26,-6.789775120801938,53.5542857
Secondary,1,28.03.2021,Coláiste Choilm,Tullamore,Offaly,Offaly County Council,R35WF97,Leinster,65610S,-7.4928384,53.2743191
Secondary,1,28.03.2021,C.B.S. Thurles,Thurles,Tipperary,Tipperary (NR) County Council,E41HX75,Munster,65450W,-7.8151008,52.6801547
Primary,2,28.03.2021,S N Iosef Naofa,Roscrea,Tipperary,Tipperary (Nr) County Council,E53Y449,Munster,18345K,-7.788687666946512,52.942640999999995
Primary,2,28.03.2021,St Saviours NS,Waterford,Waterford,Waterford City Council,X91Y472,Munster,19511G,-7.1119081,52.2609997
Primary,1,28.03.2021,Dean Kelly NS,Athlone,Westmeath,Westmeath County Council,N37X273,Leinster,16639R,-7.942705,53.4230832
Primary,1,28.03.2021,St Peter's Girls NS,Athlone,Westmeath,Westmeath County Council,N37XY50,Leinster,07722D,-7.942705,53.4230832
Secondary,1,28.03.2021,St Kevin's Comm. College,Dunlavin,Wicklow,Wicklow County Council,W91R971,Leinster,70800E,-6.7001602,53.0574868
Secondary,1,27.03.2021,St Bricin's College,Belturbet,Cavan,Cavan County Council,H14P896,Ulster,70350W,-7.5293727,54.0162188
Primary,1,27.03.2021,Knockanean NS,Ennis,Clare,Clare County Council,V95FW42,Munster,17583V,-8.983747,52.8435152
Primary,1,27.03.2021,St Christopher's NS,"Ballsbridge, D4",Dublin,Dublin City Council,D04FP20,Dublin,20545H,-6.2311505,53.3291335
Secondary,1,27.03.2021,St Louis High School,"Rathmines, D6",Dublin,Dublin City Council,D06F860,Dublin,60890C,-6.2676273,53.3206853
Primary,1,27.03.2021,St Patrick's NS,Dalkey,Dublin,Dun Laoghaire Rathdown,A96RR04,Dublin,14647G,-6.1032043,53.2756245
Primary,1,27.03.2021,St Kevin's NS,Sallynoggin,Dublin,Dun Laoghaire Rathdown,A96W862,Dublin,19979K,-6.1426158,53.2767494
Primary,2,27.03.2021,Scoil Choilm Comm. NS,"Clonsilla, D15",Dublin,Fingal County Council,D15X582,Dublin,20241K,-6.423507,53.3827908
Primary,1,27.03.2021,St Colmcille's Jnr NS,"Knocklyon, D16",Dublin,South Dublin County Council,D16H337,Dublin,19474D,-6.324813497733623,53.2843351403604
Primary,1,27.03.2021,St Bernadette's Junior NS,"Clondalkin, D22",Dublin,South Dublin County Council,D22CD39,Dublin,19743E,-6.3942689,53.3219624
Primary,3,27.03.2021,Solas Chriost NS,"Tallaght, D24",Dublin,South Dublin County Council,D24C621,Dublin,19541P,-6.3746438,53.2874685
Primary,1,27.03.2021,St Pius X GNS,"Terenure, D6W",Dublin,South Dublin County Council,D6WPN27,Dublin,19178W,-6.289414232718017,53.304632643353344
Primary,1,27.03.2021,St David's NS,Naas,Kildare,Kildare County Council,W91AE26,Leinster,11893G,-6.6574093,53.2214677
Primary,1,27.03.2021,Scoil Náisiúnta Bhríde,Clane,Kildare,Kildare County Council,W91PF77,Leinster,19797E,-6.6861147,53.2911753
Primary,2,27.03.2021,Killashee Multi-Denominational NS,NAAS,Kildare,Kildare County Council,W91YV60,Leinster,20087D,-6.6574093,53.2214677
Primary,1,27.03.2021,Holy Family Senior School,Portlaoise,Laois,Laois County Council,R32N8C2,Leinster,20480F,-7.3013754,53.0368853
Primary,2,27.03.2021,Courtenay School,Newcastle West,Limerick,Limerick County Council,V42X343,Munster,17951B,-9.0529331,52.4488928
Primary,1,27.03.2021,St Mochta's NS,Louth Village,Louth,Louth County Council,A91AE79,Leinster,01553W,-6.532050201271116,53.90628485
Secondary,1,27.03.2021,St Oliver's Comm. College,Drogheda,Louth,Louth County Council,A92D766,Leinster,71761C,-6.3524183,53.7149877
Primary,1,27.03.2021,Culleens NS,Ballina,Mayo,Mayo County Council,F26TF97,Connacht,07054L,-9.1532099,54.1143359
Primary,1,27.03.2021,Scoil Eoin Phoil,Tullamore,Offaly,Offaly County Council,R35HN70,Leinster,19713S,-7.4928384,53.2743191
Primary,1,27.03.2021,Kiladangan NS,Nenagh,Tipperary,Tipperary (Nr) County Council,E45DT27,Munster,06658P,-8.196667,52.861944
Primary,1,27.03.2021,Scoil Mhuire Loughegar,Mullingar,Westmeath,Westmeath County Council,N91TD95,Leinster,18812P,-7.3415454,53.5263035
Secondary,2,26.03.2021,Mount Carmel Secondary School,Dublin 1,Dublin,Dublin City Council,D01W657,Dublin,60853T,-6.2602732,53.3497645
Primary,1,26.03.2021,"Mary, Help Of Christians G.N.S.",Dublin 7,Dublin,Dublin City Council,D07EH68,Dublin,17367P,-6.2602732,53.3497645
Primary,1,26.03.2021,Drimnagh Castle C.B.S. NS,"Walkinstown, D12",Dublin,Dublin City Council,D12C893,Dublin,19837N,-6.338666191460039,53.324878798326196
Secondary,1,26.03.2021,Our Lady Of Mercy Secondary School,"Drimnagh, D12",Dublin,Dublin City Council,D12HT22,Dublin,60991I,-6.3180819,53.3353824
Primary,1,26.03.2021,St Luke's NS,"Tyrrelstown, D15",Dublin,Fingal County Council,D15CH64,Dublin,16675V,-6.392217673487099,53.416537649999995
Primary,1,26.03.2021,Scoil Choilm Comm. NS,"Clonsilla, D15",Dublin,Fingal County Council,D15X582,Dublin,20241K,-6.423507,53.3827908
Primary,1,26.03.2021,St Patrick's Jnr Mixed,Skerries,Dublin,Fingal County Council,K34D799,Dublin,16333Q,-6.1066867,53.5806379
