Type,Day cases,Report Date,School Name,Address 1,County,Local Authority,Eircode,Region,Roll Number,Lat,Long
Secondary,2,27.04.2021,Rosses Comm. School,Dungloe,Donegal,Donegal County Council,F94NX79,Ulster,91407T,,
Secondary,1,27.04.2021,Alexandra College,"Milltown, D6",Dublin,Dublin City Council,D06KX50,Dublin,60910F,-6.2517585,53.3099139
Secondary,1,27.04.2021,Dominican College,"Drumcondra, D9",Dublin,Dublin City Council,D09A5X0,Dublin,60690R,-6.259665718431606,53.36334425
Primary,1,27.04.2021,St Attracta's Junior NS,"Ballinteer, D16",Dublin,Dun Laoghaire Rathdown,D16P891,Dublin,19537B,-6.2528361,53.2764266
Primary,1,27.04.2021,Scoil Ghrainne Comm. NS,"Clonee, D15",Dublin,Fingal County Council,D15Y5PR,Dublin,20247W,-6.418708,53.4067306
Secondary,1,27.04.2021,Skerries Comm. College,Skerries,Dublin,Fingal County Council,K34HH29,Dublin,76078Q,-6.1066867,53.5806379
Primary,1,27.04.2021,St Sylvester's Infant School,Malahide,Dublin,Fingal County Council,K36PA66,Dublin,17928G,-6.15367,53.4508401
Primary,2,27.04.2021,St Brigid's Kildare Town Primary School,Kildare Town,Kildare,Kildare County Council,R51XY30,Leinster,20427B,-6.9106278,53.1569027
Secondary,10,27.04.2021,Holy Family Secondary School,Newbridge,Kildare,Kildare County Council,W12YD71,Leinster,61682A,-6.7982137,53.180124
Secondary,1,27.04.2021,Confey Community College,Leixlip,Kildare,Kildare County Council,W23VH66,Leinster,70691C,-6.4897438,53.3644766
Primary,2,27.04.2021,Scoil Bhríde,Naas,Kildare,Kildare County Council,W91YA62,Leinster,20114D,-6.6574093,53.2214677
Primary,1,27.04.2021,St Paul's NS,Dooradoyle,Limerick,Limerick County Council,V94Y62V,Munster,19336O,-8.6494406,52.6359639
Pre-school,1,27.04.2021,Little Leprechauns* (not a school),Charlestown,Mayo,Mayo County Council,,Connacht,Creche38,-8.794167,53.964167
Primary,1,27.04.2021,Donore NS,Donore,Meath,Meath County Council,A92A568,Leinster,17856H,-6.4167748,53.6923216
Primary,1,26.04.2021,St Michael's NS,Cootehill,Cavan,Cavan County Council,H16P304,Ulster,20277I,,
Primary,1,26.04.2021,Scoil An Spioraid Naomh (Boys),Bishopstown,Cork,Cork City Council,T12X030,Munster,20077A,-8.5166631,51.8796067
Primary,1,26.04.2021,St Brigid's/Presentation Primary,Midleton,Cork,Cork County Council,P25R248,Munster,00512D,-8.1700962,51.9142741
Secondary,2,26.04.2021,Pobalscoil na Tríonóide,Youghal,Cork,Cork County Council,P36Y763,Munster,91513S,-7.850556,51.95
Primary,8,26.04.2021,Milford NS,Milford,Donegal,Donegal County Council,F92D744,Ulster,18151U,-74.364454,41.059956
Secondary,1,26.04.2021,St Eunan's College,Letterkenny,Donegal,Donegal County Council,F92RR71,Ulster,62830R,-7.7378749,54.9493649
Primary,1,26.04.2021,Scoil Mhuire,Ramelton,Donegal,Donegal County Council,F92XHW5,Ulster,19491D,,
Secondary,1,26.04.2021,Rosses Comm. School,Dungloe,Donegal,Donegal County Council,F94NX79,Ulster,91407T,,
Secondary,5,26.04.2021,Mount Temple Comp. School,"Clontarf, D3",Dublin,Dublin City Council,D03DX79,Dublin,81002K,-6.2400266,53.3665746
Secondary,1,26.04.2021,Alexandra College,"Milltown, D6",Dublin,Dublin City Council,D06KX50,Dublin,60910F,-6.2517585,53.3099139
Secondary,1,26.04.2021,Clonturk College,"Whitehall, D9",Dublin,Dublin City Council,D09W5K6,Dublin,76394D,-6.2431944,53.382668
