OBJECTID;JPT_NAZWA_;JPT_KJ_I_1;JPT_KJ_I_2;POTWIERDZONE_DZIENNE;POTWIERDZONE_10_TYS_OSOB;ZGONY;ZGONY_COVID;ZGONY_WSPOLISTNIEJACE;KWARANTANNA;TESTY;TESTY_POZYTYWNE;TESTY_NEGATYWNE;ZLECENIA_POZ;TESTY_POZOSTALE;POPULACJA;Shape__Area;Shape__Length;LICZBA_OZDROWIENCOW;WOJEWODZTWO;Shape__Area_2;Shape__Length_2;
195;powiat toruński;0415;t0415;31;2.85;2;0;2;844;162;31;129;69;2;106935;None;None;97;kujawsko-pomorskie;3398262331.03906;572718.131689481;
196;powiat chełmiński;0404;t0404;17;3.28;1;0;1;424;104;19;84;30;1;52193;None;None;66;kujawsko-pomorskie;1472654859.60156;213347.62530083;
197;powiat wodzisławski;2415;t2415;161;10.26;5;4;1;1892;435;164;259;143;12;157616;None;None;140;śląskie;692842941.374023;151950.194505608;
198;powiat leski;1821;t1821;8;3.03;3;2;1;169;56;9;45;16;2;26562;None;None;16;podkarpackie;1961972421.7168;266889.141223158;
199;powiat bieszczadzki;1801;t1801;8;3.71;2;0;2;162;41;8;33;18;0;21879;None;None;12;podkarpackie;2679519132.45605;397554.493390249;
200;powiat prudnicki;1610;t1610;23;4.17;2;0;2;454;113;23;88;39;2;55524;None;None;27;opolskie;1402410371.59766;303245.982526345;
201;powiat ząbkowicki;0224;t0224;39;6.05;0;0;0;619;126;41;81;46;4;65428;None;None;43;dolnośląskie;1985071871.54785;258125.950199205;
202;powiat makowski;1411;t1411;13;2.91;2;1;1;253;61;14;47;14;0;45247;None;None;18;mazowieckie;2923363483.25684;327282.216368762;
203;powiat pszczyński;2410;t2410;85;7.61;2;0;2;1539;283;90;186;100;7;111202;None;None;73;śląskie;1139124903.16895;287647.075122081;
204;powiat gołdapski;2818;t2818;14;5.26;1;1;0;192;43;14;29;10;0;26908;None;None;18;warmińsko-mazurskie;2260887824.55664;290864.544223235;
205;powiat Sopot;2264;t2264;13;3.66;0;0;0;205;86;13;71;17;2;36046;None;None;15;pomorskie;51469728.5507813;32975.8137493988;
206;powiat rzeszowski;1816;t1816;23;1.35;7;0;7;1190;237;25;212;58;0;170486;None;None;72;podkarpackie;2778087509.05078;566439.077774279;
207;powiat jeleniogórski;0206;t0206;43;6.78;2;0;2;649;182;45;136;35;1;63855;None;None;54;dolnośląskie;1572771746.11523;386508.767242305;
208;powiat świdnicki;0219;t0219;87;5.56;1;0;1;1783;315;92;221;80;2;157615;None;None;166;dolnośląskie;1861288483.42773;286373.026858924;
209;powiat opoczyński;1007;t1007;30;3.96;1;0;1;434;148;31;116;41;1;76623;None;None;23;łódzkie;2668044542.28223;371545.650926993;
210;powiat człuchowski;2203;t2203;36;6.44;1;0;1;374;193;39;151;20;3;56370;None;None;11;pomorskie;4490996539.26074;393664.739936211;
211;powiat ostrowski;3017;t3017;75;4.64;1;1;0;1755;309;84;222;124;3;161519;None;None;137;wielkopolskie;3003853559.08594;403512.76732296;
212;powiat Kalisz;3061;t3061;40;4.01;3;0;3;864;239;43;195;48;1;100975;None;None;87;wielkopolskie;180453475.983398;67626.3043979649;
213;powiat mławski;1413;t1413;4;0.55;0;0;0;309;88;4;84;23;0;73102;None;None;14;mazowieckie;3265455417.03711;380211.014570982;
214;powiat gorzowski;0801;t0801;23;3.19;0;0;0;527;116;27;88;30;1;71549;None;None;48;lubuskie;3304274488.85547;512890.937721429;
215;powiat strzyżowski;1819;t1819;8;1.31;1;0;1;412;88;10;78;16;0;61558;None;None;27;podkarpackie;1210484290.42969;194071.8212684;
216;powiat miński;1412;t1412;60;3.87;2;2;0;1530;298;66;230;80;2;153824;None;None;122;mazowieckie;3089522271.86523;431764.535670968;
217;powiat zwoleński;1436;t1436;12;3.33;0;0;0;325;61;13;46;23;2;36328;None;None;23;mazowieckie;1467531761.99805;291986.538111362;
218;powiat żuromiński;1437;t1437;7;1.83;0;0;0;150;39;7;32;17;0;38944;None;None;13;mazowieckie;2226333876.54492;344238.830221483;
219;powiat lubelski;0609;t0609;60;3.85;0;0;0;1162;345;61;282;108;2;154387;None;None;99;lubelskie;4261752304.72949;630860.255867376;
220;powiat proszowicki;1214;t1214;34;7.88;0;0;0;531;88;36;52;36;0;43523;None;None;26;małopolskie;1010354642.40723;264910.70952977;
221;powiat wielicki;1219;t1219;48;3.69;2;2;0;1893;198;52;137;75;9;127078;None;None;164;małopolskie;993000378.792969;206368.393277271;
222;powiat sieradzki;1014;t1014;52;4.43;1;0;1;1227;231;55;171;73;5;118240;None;None;44;łódzkie;3855517868.05371;383007.536023048;
223;powiat brzeziński;1021;t1021;36;11.69;0;0;0;348;96;37;56;21;3;30890;None;None;34;łódzkie;937933263.936523;214537.727599494;
224;powiat strzelecko-drezdenecki;0806;t0806;10;2.05;2;2;0;346;54;10;44;24;0;49366;None;None;21;lubuskie;3420705824.31934;376164.84489952;
225;powiat świebodziński;0808;t0808;18;3.23;0;0;0;700;107;18;88;37;1;55840;None;None;46;lubuskie;2493817083.91309;316457.86531607;
226;powiat leżajski;1808;t1808;24;3.47;0;0;0;446;125;24;97;37;4;69562;None;None;29;podkarpackie;1427793666.18164;285757.382178615;
227;powiat lubaczowski;1809;t1809;11;2;0;0;0;426;77;14;63;15;0;55652;None;None;32;podkarpackie;3191073443.78418;330454.353528006;
228;powiat chodzieski;3001;t3001;36;7.67;0;0;0;471;105;36;68;34;1;47229;None;None;9;wielkopolskie;1886567935.58203;236972.793504844;
