OBJECTID;JPT_NAZWA_;JPT_KJ_I_1;JPT_KJ_I_2;POTWIERDZONE_DZIENNE;POTWIERDZONE_10_TYS_OSOB;ZGONY;ZGONY_COVID;ZGONY_WSPOLISTNIEJACE;KWARANTANNA;TESTY;TESTY_POZYTYWNE;TESTY_NEGATYWNE;ZLECENIA_POZ;TESTY_POZOSTALE;POPULACJA;Shape__Area;Shape__Length;LICZBA_OZDROWIENCOW;WOJEWODZTWO;Shape__Area_2;Shape__Length_2;
291;powiat łęczycki;1004;t1004;16;3.23;0;0;0;440;111;19;91;35;1;50143;None;None;52;łódzkie;2043093073.85059;331111.925959186;
292;powiat pajęczański;1009;t1009;7;1.37;0;0;0;584;50;7;41;33;2;51597;None;None;7;łódzkie;2041041839.78809;328415.50183355;
293;powiat radomszczański;1012;t1012;22;1.96;5;0;5;1189;174;22;150;78;2;113315;None;None;53;łódzkie;3648656911.56445;469708.500832802;
294;powiat zduńskowolski;1019;t1019;38;5.74;2;0;2;728;165;39;126;64;0;66766;None;None;72;łódzkie;957463625.324219;218444.529553649;
295;powiat nowosolski;0804;t0804;29;3.37;2;2;0;855;188;31;156;80;1;86634;None;None;29;lubuskie;2012357511.50391;370992.69790303;
296;powiat jarosławski;1804;t1804;44;3.66;1;0;1;1120;201;48;149;51;4;120714;None;None;93;podkarpackie;2486703260.41016;359311.945947608;
297;powiat mielecki;1811;t1811;37;2.71;4;0;4;1078;209;72;136;64;1;136673;None;None;60;podkarpackie;2153715315.0459;264604.56424605;
298;powiat Warszawa;1465;t1465;695;3.87;40;0;40;15440;4492;768;3628;727;96;1777972;None;None;1715;mazowieckie;1376160776.66602;214692.558307819;
299;powiat krapkowicki;1605;t1605;30;4.72;0;0;0;654;146;30;113;35;3;63942;None;None;83;opolskie;1089295265.85938;234187.881288661;
300;powiat moniecki;2008;t2008;8;1.99;0;0;0;199;60;10;50;14;0;40712;None;None;19;podlaskie;3881692619.78027;456047.861348863;
301;powiat kielecki;2604;t2604;61;2.89;1;0;1;1542;387;66;313;123;8;210694;None;None;153;świętokrzyskie;5623631191.18164;721194.257536161;
302;powiat wrzesiński;3030;t3030;31;3.97;0;0;0;1007;110;33;77;68;0;77667;None;None;91;wielkopolskie;1875292550.00293;318093.684499369;
303;powiat gnieźnieński;3003;t3003;103;7.08;5;1;4;1629;359;118;240;62;1;145317;None;None;155;wielkopolskie;3387084108.12891;433067.949245856;
304;powiat malborski;2209;t2209;22;3.47;0;0;0;489;268;24;238;31;6;63748;None;None;60;pomorskie;1432595733.89844;208979.607290071;
305;powiat lidzbarski;2809;t2809;8;1.95;1;0;1;216;64;8;55;21;1;41512;None;None;17;warmińsko-mazurskie;2683643469.92383;413189.805412815;
306;powiat olsztyński;2814;t2814;23;1.81;4;0;4;660;173;25;148;53;0;126018;None;None;48;warmińsko-mazurskie;8123036045.54785;784900.720122615;
307;powiat sławieński;3213;t3213;23;4.11;0;0;0;511;83;24;55;36;4;56409;None;None;26;zachodniopomorskie;3067594055.07813;325339.944086542;
308;powiat działdowski;2803;t2803;11;1.69;0;0;0;337;91;11;80;32;0;65442;None;None;26;warmińsko-mazurskie;2660890636.71289;353531.172717495;
309;powiat górowski;0204;t0204;18;5.19;0;0;0;334;69;18;50;34;1;35182;None;None;27;dolnośląskie;1912893854.84473;258921.583628594;
310;powiat sztumski;2216;t2216;16;3.89;0;0;0;226;71;16;55;9;0;41569;None;None;18;pomorskie;2101661592.00488;286806.38167257;
311;powiat kwidzyński;2207;t2207;26;3.13;0;0;0;662;150;26;118;49;6;83291;None;None;66;pomorskie;2379609775.93555;260857.648737172;
312;powiat Dąbrowa Górnicza;2465;t2465;75;6.31;3;0;3;1536;303;79;219;98;5;120259;None;None;175;śląskie;463018284.355469;146083.299515381;
313;powiat Mysłowice;2470;t2470;33;4.42;0;0;0;781;158;39;116;44;3;74586;None;None;55;śląskie;159867446.168945;71464.6886355502;
314;powiat myśliborski;3210;t3210;18;2.75;0;0;0;593;138;19;117;31;2;66264;None;None;14;zachodniopomorskie;3240987072.30273;517249.613649622;
315;powiat golubsko-dobrzyński;0405;t0405;7;1.56;1;0;1;272;55;7;48;17;0;45140;None;None;27;kujawsko-pomorskie;1696831682.29004;286743.950151634;
316;powiat aleksandrowski;0401;t0401;19;3.45;2;0;2;330;89;20;69;28;0;55274;None;None;11;kujawsko-pomorskie;1296710521.27832;232341.183509771;
317;powiat świecki;0414;t0414;42;4.25;3;0;3;713;257;46;210;56;1;99281;None;None;65;kujawsko-pomorskie;4161779122.23242;420257.287270488;
318;powiat pleszewski;3020;t3020;14;2.22;1;1;0;612;81;14;67;49;0;63147;None;None;94;wielkopolskie;1872548648.65332;286584.825438946;
319;powiat Krosno;1861;t1861;13;2.82;2;1;1;254;62;14;46;29;2;46511;None;None;20;podkarpackie;103781954.53418;47866.3404786722;
320;powiat sejneński;2009;t2009;4;2.02;0;0;0;99;14;5;9;5;0;20092;None;None;3;podlaskie;2480079044.16797;314272.454480858;
321;powiat sanocki;1817;t1817;8;0.85;1;0;1;423;136;10;126;25;0;94758;None;None;24;podkarpackie;2734808085.51953;313504.260188817;
322;powiat suski;1215;t1215;32;3.8;1;0;1;900;178;36;136;37;6;84255;None;None;87;małopolskie;1636018804.79688;246086.503963768;
323;powiat zielonogórski;0809;t0809;17;2.25;3;0;3;603;127;18;107;28;2;75750;None;None;40;lubuskie;3555215972.38281;574728.197217623;
