population,total_vacc,new_vacc,total_vacc_2,new_vacc_2,slots_7,slots_30,date,powiat,wojew
56486,66338,17,24458,0,5,27,2022-10-01,kępiński,wielkopolskie
62924,71783,0,24492,0,135,229,2022-10-01,kętrzyński,warmińsko-mazurskie
84924,86833,0,30888,0,255,321,2022-10-01,kłobucki,śląskie
159337,198963,0,68202,0,502,1300,2022-10-01,kłodzki,dolnośląskie
116775,142535,0,41239,0,1007,1945,2022-10-01,legionowski,mazowieckie
55326,66574,0,22036,0,195,200,2022-10-01,legnicki,dolnośląskie
26562,20690,0,7637,0,63,240,2022-10-01,leski,podkarpackie
56485,32171,0,11285,0,155,971,2022-10-01,leszczyński,wielkopolskie
69562,61621,0,21980,0,1756,1860,2022-10-01,leżajski,podkarpackie
41512,45936,0,16659,0,303,372,2022-10-01,lidzbarski,warmińsko-mazurskie
131523,130091,12,47933,0,345,953,2022-10-01,limanowski,małopolskie
66062,80477,0,28851,0,74,83,2022-10-01,lipnowski,kujawsko-pomorskie
34214,37788,0,14210,0,52,206,2022-10-01,lipski,mazowieckie
55652,52699,0,18635,0,138,148,2022-10-01,lubaczowski,podkarpackie
88789,84651,0,31176,0,197,875,2022-10-01,lubartowski,lubelskie
54699,51693,0,14845,0,168,830,2022-10-01,lubański,dolnośląskie
154387,129942,0,46268,0,239,340,2022-10-01,lubelski,lubelskie
106254,185499,0,67061,0,513,2334,2022-10-01,lubiński,dolnośląskie
76593,84323,10,28969,0,571,2210,2022-10-01,lubliniecki,śląskie
46059,66717,24,22909,0,63,182,2022-10-01,lwówecki,dolnośląskie
66280,93053,0,31873,0,1092,2350,2022-10-01,lęborski,pomorskie
45247,62027,0,22346,0,22,129,2022-10-01,makowski,mazowieckie
63748,70923,0,23569,0,274,414,2022-10-01,malborski,pomorskie
49137,81941,0,32026,0,95,132,2022-10-01,miechowski,małopolskie
136673,122498,0,46906,0,812,1421,2022-10-01,mielecki,podkarpackie
98373,69386,0,22877,0,4175,12915,2022-10-01,mikołowski,śląskie
37093,52220,0,18787,0,201,216,2022-10-01,milicki,dolnośląskie
36982,50818,0,18582,0,39,194,2022-10-01,międzychodzki,wielkopolskie
58024,99418,0,35431,0,200,659,2022-10-01,międzyrzecki,lubuskie
153824,199071,0,68390,0,274,947,2022-10-01,miński,mazowieckie
45821,57430,0,19136,0,39,111,2022-10-01,mogileński,kujawsko-pomorskie
40712,36161,0,13170,0,186,186,2022-10-01,moniecki,podlaskie
50080,50230,0,16323,0,48,128,2022-10-01,mrągowski,warmińsko-mazurskie
71119,85109,0,30271,0,289,620,2022-10-01,myszkowski,śląskie
127028,151859,0,56332,0,708,2719,2022-10-01,myślenicki,małopolskie
66264,66830,0,22838,0,323,1273,2022-10-01,myśliborski,zachodniopomorskie
73102,92205,0,33705,0,108,295,2022-10-01,mławski,mazowieckie
86590,133250,0,44437,0,125,130,2022-10-01,nakielski,kujawsko-pomorskie
42688,46706,0,15962,0,7,86,2022-10-01,namysłowski,opolskie
33068,69859,0,22589,0,35,97,2022-10-01,nidzicki,warmińsko-mazurskie
66843,47928,0,18311,0,60,95,2022-10-01,niżański,podkarpackie
79291,161881,0,59352,0,117,497,2022-10-01,nowodworski (mazowieckie),mazowieckie
35746,50733,0,17926,0,217,738,2022-10-01,nowodworski (pomorskie),pomorskie
43997,59364,0,21207,0,86,99,2022-10-01,nowomiejski,warmińsko-mazurskie
86634,144107,6,47525,0,1574,5561,2022-10-01,nowosolski,lubuskie
216176,183084,0,65801,0,535,819,2022-10-01,nowosądecki,małopolskie
191508,186846,0,68286,0,780,2614,2022-10-01,nowotarski,małopolskie
75363,99189,0,35377,0,207,625,2022-10-01,nowotomyski,wielkopolskie
136946,139755,0,50133,0,1402,3342,2022-10-01,nyski,opolskie
59858,126001,0,43120,0,1006,1857,2022-10-01,obornicki,wielkopolskie
34433,38964,0,14233,0,50,97,2022-10-01,olecki,warmińsko-mazurskie
64602,72769,0,26599,0,538,2625,2022-10-01,oleski,opolskie
107062,178088,0,56484,0,808,3402,2022-10-01,oleśnicki,dolnośląskie
112035,164349,0,57607,0,2389,4618,2022-10-01,olkuski,małopolskie
126018,143589,0,52205,0,151,577,2022-10-01,olsztyński,warmińsko-mazurskie
52577,53133,0,19508,0,1,5,2022-10-01,opatowski,świętokrzyskie
76623,89159,0,31588,0,308,772,2022-10-01,opoczyński,łódzkie
59726,70456,0,25144,0,116,121,2022-10-01,opolski (lubelskie),lubelskie
123520,107976,0,36851,0,678,1598,2022-10-01,opolski (opolskie),opolskie
110127,142144,0,48617,0,536,2004,2022-10-01,ostrowiecki,świętokrzyskie
72782,75969,0,29152,0,375,399,2022-10-01,ostrowski (mazowieckie),mazowieckie
161519,203687,0,69431,0,2080,6141,2022-10-01,ostrowski (wielkopolskie),wielkopolskie
88735,71877,0,27286,0,19,19,2022-10-01,ostrołęcki,mazowieckie
55403,68806,0,24272,0,140,269,2022-10-01,ostrzeszowski,wielkopolskie
104780,108366,0,38417,0,367,623,2022-10-01,ostródzki,warmińsko-mazurskie
