,,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna
date,,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
będziński,śląskie,"0,08","0,07","-0,01","0,96","1,1","1,22","7,54","1,47","1,34","1,96","1,93","0,81","0,88","0,68","0,7","0,5","0,51","0,55","0,16","0,85","1,28","1,14","1,02","1,35","0,96","0,91","0,87","1,31","1,56","1,97","5,27","10,71","4,34","90,32","95,85","86,9","53,14","33,46","27,76","25,43","20,59","23,77","22,05","19,98","15,05","12,24","12,15","10,19","10,66","11,52","18,26","27,49","43,16","70,48","102,01","128,91","100,28","88,41","65,77"
chełmiński,kujawsko-pomorskie,"0,0","0,0","0,0","1,93","1,38","0,28","0,04","10,57","3,97","0,28","0,0","0,0","0,0","0,12","0,16","0,0","0,0","0,0","0,0","0,0","0,59","1,22","0,79","0,44","0,98","0,63","0,36","0,51","0,67","1,42","1,73","7,47","20,01","37,77","51,17","59,47","59,74","66,23","40,6","45,24","40,72","41,43","40,83","42,74","48,85","45,36","45,55","32,86","35,45","34,94","33,48","37,34","38,2","46,18","47,12","57,19","44,45","40,09","29,99"
chełmski,lubelskie,"0,0","0,18","2,33","1,7","0,34","0,03","0,0","0,15","0,03","0,0","0,18","0,37","0,0","0,15","0,03","0,0","0,0","0,0","0,0","0,21","0,52","0,0","-0,16","-0,39","0,03","0,39","0,13","0,13","0,55","0,79","3,9","6,83","15,3","16,22","51,19","60,27","42,01","38,95","30,55","24,41","23,46","18,26","14,52","14,44","22,52","13,05","8,0","7,09","8,16","9,57","8,87","7,69","13,76","20,8","28,28","35,21","33,07","39,24","30,98"
chodzieski,wielkopolskie,"0,0","0,0","0,04","0,26","1,21","0,61","0,0","0,26","0,04","0,0","0,17","0,13","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,21","0,09","0,09","0,78","0,74","1,91","1,95","0,69","0,21","0,17","0,87","2,08","6,63","21,73","41,81","82,88","106,65","71,65","47,02","33,18","30,36","24,38","18,35","14,62","11,28","13,92","12,84","7,42","6,81","9,2","9,37","7,2","14,14","18,3","28,23","39,04","57,73","50,79","54,86","44,02"
chojnicki,pomorskie,"0,0","0,0","0,0","0,0","0,0","0,09","0,06","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,21","0,36","0,02","0,0","0,0","0,0","0,0","0,1","0,29","0,46","1,17","0,61","0,36","1,78","3,91","5,89","10,53","16,41","26,79","39,88","66,0","69,87","66,73","49,47","34,15","28,63","20,0","18,81","24,66","22,36","20,0","20,48","15,3","11,14","10,97","11,2","11,45","16,76","18,71","24,33","34,32","42,18","36,37","35,66","28,35"
choszczeński,zachodniopomorskie,"0,0","0,0","0,0","0,08","0,51","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,25","1,69","5,2","18,32","37,73","50,97","49,11","42,51","32,7","51,02","41,97","41,5","41,16","39,43","36,57","39,59","28,93","17,77","17,09","15,95","17,3","19,0","15,61","24,28","35,83","38,71","47,8","30,08","29,57","27,84"
chrzanowski,małopolskie,"0,0","0,0","0,06","0,05","0,0","0,0","0,11","0,0","0,05","0,33","0,54","0,13","0,52","0,74","0,97","0,74","0,0","0,03","0,03","-0,02","0,51","1,1","0,37","0,41","0,77","1,25","1,67","1,11","1,87","3,72","9,54","13,19","21,65","30,01","38,44","45,46","63,4","49,14","18,88","19,34","13,58","12,4","8,0","7,42","8,75","8,31","6,16","5,57","6,9","11,62","20,01","27,61","35,59","49,46","61,5","78,08","62,19","54,9","44,35"
ciechanowski,mazowieckie,"0,0","0,0","0,11","0,05","0,0","0,25","0,07","0,0","0,0","0,25","0,07","0,0","0,0","0,09","0,07","0,0","0,11","0,05","0,0","0,0","0,0","0,07","0,71","0,66","0,05","0,66","0,57","0,89","1,1","1,26","4,38","6,28","17,53","44,98","56,69","61,41","41,92","28,78","21,09","18,99","18,53","22,07","16,61","14,59","15,36","11,89","13,4","18,12","22,37","31,13","38,98","43,13","38,25","48,61","44,59","42,43","32,66","20,38","15,49"
cieszyński,śląskie,"0,23","0,22","0,87","1,84","1,43","1,27","1,06","1,34","1,35","3,77","10,05","11,11","10,4","11,32","14,92","11,01","9,0","7,18","4,56","5,69","5,47","4,74","6,38","4,08","3,6","2,91","1,89","1,77","2,34","4,71","6,55","14,29","26,89","47,66","79,31","89,77","56,54","35,09","22,61","18,24","14,16","12,42","9,93","10,21","9,55","6,3","6,79","6,92","8,25","11,06","19,75","32,26","42,07","57,72","75,61","81,97","62,68","54,15","37,57"
czarnkowsko-trzcianecki,wielkopolskie,"0,0","0,23","1,2","2,3","2,53","1,2","0,26","0,0","0,0","0,0","0,28","0,05","0,0","0,0","0,0","0,0","0,0","0,35","0,54","0,26","0,23","0,19","0,24","0,56","0,42","0,87","0,12","0,0","0,0","0,33","1,15","3,97","16,66","28,76","39,67","67,42","78,47","61,44","62,33","52,08","39,44","38,8","38,21","36,13","34,39","26,86","18,91","12,37","12,18","17,88","21,73","22,08","30,61","47,41","66,3","85,94","65,74","51,94","37,67"
częstochowski,śląskie,"0,0","0,14","0,18","0,56","1,27","0,99","0,68","0,56","0,52","0,29","0,35","0,15","0,05","0,17","0,12","0,09","0,21","0,38","0,47","0,87","0,53","0,35","0,35","0,61","0,85","3,75","1,52","4,66","2,82","4,29","10,1","16,56","22,45","32,38","63,52","96,78","41,3","23,56","19,28","21,72","14,62","11,69","12,7","13,61","13,35","13,21","7,51","7,64","6,58","8,22","10,44","13,62","24,12","39,89","52,72","65,49","59,4","58,24","42,94"
człuchowski,pomorskie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,14","0,11","0,0","0,0","0,0","0,0","0,0","0,25","0,0","0,0","0,0","0,21","0,04","1,05","0,54","0,18","0,0","0,0","0,18","1,09","2,4","4,37","12,55","18,89","32,71","42,1","49,05","55,09","41,23","45,6","42,79","39,81","27,76","32,82","27,33","25,8","15,97","10,33","9,83","8,95","13,14","24,85","28,42","24,09","26,74","35,22","27,47","35,22","32,91"
drawski,zachodniopomorskie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,07","0,64","0,46","0,07","0,0","0,0","0,89","2,72","2,9","16,07","30,57","23,01","36,73","49,68","55,48","39,16","42,31","39,73","42,77","39,19","37,33","34,22","23,2","15,03","11,78","9,2","17,9","27,6","32,25","37,51","41,06","42,24","49,65","37,15","29,07","24,76"
działdowski,warmińsko-mazurskie,"0,0","0,0","0,0","0,0","0,19","0,63","0,5","0,0","0,0","0,13","0,09","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,5","0,82","0,35","0,25","5,48","3,95","0,5","0,85","1,1","2,48","8,18","16,48","13,28","14,48","12,57","26,88","39,63","68,99","86,22","77,92","62,47","60,28","61,53","42,77","30,55","34,51","41,26","31,8","21,49","22,78","30,67","38,22","54,95","69,84","66,92","62,35","53,79","45,11","30,95","27,6","20,04"
dzierżoniowski,dolnośląskie,"0,0","0,0","0,06","0,41","0,55","0,75","0,69","0,45","1,07","1,72","0,43","0,26","0,14","0,02","-0,02","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,08","0,69","1,28","0,46","0,04","0,2","1,58","5,16","13,97","30,38","51,12","55,55","88,62","50,63","31,44","23,36","13,1","10,12","7,53","6,64","5,98","4,96","7,45","7,43","5,08","6,74","10,87","16,5","19,17","21,52","36,48","56,86","67,67","53,61","50,85","40,3"
dąbrowski,małopolskie,"0,0","0,14","0,83","0,38","0,72","0,1","0,14","0,1","0,0","0,1","0,14","0,0","0,0","0,0","0,0","0,0","0,83","0,14","0,0","0,14","1,31","1,79","0,86","0,62","1,48","1,31","0,45","0,48","1,42","2,93","3,69","10,21","21,14","44,9","64,43","47,7","34,14","22,07","16,62","10,93","8,07","5,27","4,0","7,57","6,66","5,31","2,97","6,48","5,96","8,97","13,66","18,59","22,97","25,04","24,97","31,11","25,8","36,7","28,63"
dębicki,podkarpackie,"0,0","0,06","0,05","0,15","0,17","0,36","0,14","0,03","0,0","0,0","0,02","0,09","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,06","0,2","0,56","1,15","1,26","2,74","2,94","3,02","4,42","8,81","12,91","23,14","32,49","43,74","46,77","49,6","33,7","15,01","9,4","5,14","5,69","5,08","4,1","5,53","6,82","4,57","3,09","4,16","7,77","12,44","14,66","21,09","23,64","30,67","38,91","44,84","33,7","26,71","18,48"
elbląski,warmińsko-mazurskie,"0,0","0,07","0,39","0,54","0,46","0,04","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,43","0,07","0,0","0,0","0,04","0,07","0,29","0,64","2,36","1,68","1,04","0,82","0,46","1,11","1,75","4,81","11,77","21,76","37,35","43,09","55,01","65,49","61,03","45,37","59,47","63,71","46,16","42,07","35,38","21,58","17,19","16,19","14,8","7,1","11,74","16,91","20,87","33,42","34,28","36,28","21,62","23,04","21,47"
ełcki,warmińsko-mazurskie,"0,0","0,0","0,0","0,0","0,0","0,16","0,16","0,0","0,0","0,0","0,0","0,0","0,0","0,38","0,98","2,38","1,2","0,09","0,38","1,56","0,2","0,16","0,56","0,71","1,76","1,2","0,67","0,09","0,05","0,11","1,2","3,26","24,36","35,82","54,03","66,38","69,81","65,64","44,98","33,84","26,44","22,4","20,53","23,3","20,95","16,01","14,42","13,93","11,5","11,3","16,58","20,37","28,37","35,06","39,36","37,4","25,39","30,03","22,69"
garwoliński,mazowieckie,"0,0","0,0","0,0","0,54","0,24","0,07","0,19","0,49","0,64","0,43","0,32","0,47","0,48","0,07","0,73","1,09","1,01","0,13","0,58","0,99","0,78","0,73","1,05","1,48","1,25","2,58","2,19","2,1","4,33","5,26","12,58","29,89","48,75","76,48","85,64","53,56","28,32","16,67","13,93","11,14","7,02","6,12","7,28","6,95","7,36","6,39","4,4","3,97","4,18","4,19","5,99","8,88","14,81","23,63","31,78","35,24","30,28","31,24","21,65"
gdański,pomorskie,"0,08","0,26","0,24","0,46","0,53","0,57","0,26","0,81","0,05","0,0","0,0","0,0","0,12","0,0","0,0","0,0","0,07","0,05","0,0","0,19","0,14","0,79","1,83","2,48","1,96","2,05","1,59","1,23","3,67","5,6","8,49","15,33","18,0","28,35","67,0","82,0","75,08","59,58","42,44","39,48","41,68","38,58","36,2","43,38","36,6","29,0","29,92","29,66","33,48","43,78","58,87","69,08","68,38","82,4","89,18","90,55","66,33","56,72","29,32"
giżycki,warmińsko-mazurskie,"0,0","0,07","0,18","0,0","0,0","0,0","0,0","0,0","0,07","0,18","0,07","1,04","0,14","0,25","0,0","0,76","0,43","0,07","0,0","0,07","1,05","1,01","0,94","0,72","1,52","0,43","0,4","1,12","1,05","1,3","2,02","5,31","16,99","37,52","45,24","40,08","61,77","59,1","42,25","33,66","43,73","47,37","40,99","48,11","38,43","38,32","37,99","34,06","25,83","22,12","25,51","27,64","39,47","39,22","46,65","62,92","47,48","41,49","35,36"
gliwicki,śląskie,"0,0","0,14","0,55","1,01","0,83","0,35","0,64","0,94","1,7","4,7","4,06","2,77","2,6","2,93","3,94","6,54","2,77","2,75","2,38","1,29","3,15","2,35","1,49","2,61","2,53","1,8","0,9","1,54","1,55","3,64","4,4","12,77","38,99","66,24","49,37","80,43","74,28","50,75","43,61","30,05","25,19","20,53","19,91","23,48","20,79","12,56","9,79","10,55","12,17","10,4","13,14","20,19","30,63","56,3","87,26","108,15","91,56","71,7","48,1"
gnieźnieński,wielkopolskie,"0,0","0,0","0,03","0,09","0,28","2,5","5,11","6,44","1,91","0,42","0,07","0,21","0,1","0,04","0,0","0,0","0,0","0,17","-0,07","0,0","0,0","0,0","0,27","0,6","0,69","0,25","0,22","0,46","3,56","5,4","3,75","6,37","10,75","35,29","69,74","87,29","73,83","63,65","53,27","36,55","33,97","28,59","26,62","28,18","24,76","20,66","13,53","14,88","17,47","22,78","29,19","34,87","37,96","50,42","70,87","90,1","67,9","56,05","40,57"
goleniowski,zachodniopomorskie,"0,0","0,0","0,0","0,0","0,35","0,54","0,32","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,15","0,02","0,05","0,12","0,0","0,0","0,0","0,02","0,3","0,02","0,15","0,32","0,12","0,32","1,66","2,55","1,54","6,22","11,99","18,3","37,34","76,96","89,39","67,97","53,83","63,81","57,62","50,04","40,63","38,74","37,86","24,94","17,73","16,39","16,02","18,15","20,23","23,15","25,04","42,44","60,47","61,93","45,04","48,9","46,31"
golubsko-dobrzyński,kujawsko-pomorskie,"0,0","0,0","0,0","0,68","0,27","0,23","0,09","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,05","0,81","0,72","0,32","0,32","0,36","0,77","1,54","4,49","12,33","23,17","51,36","63,33","50,95","47,37","49,64","42,39","31,33","28,92","22,67","15,73","21,16","31,01","29,46","30,51","20,72","18,45","30,1","52,45","70,58","75,89","83,19","88,9","70,13","35,95","30,78","19,8"
gorlicki,małopolskie,"0,0","0,0","0,15","0,24","0,19","0,07","0,0","0,0","0,0","0,09","0,04","0,06","0,07","0,0","0,0","0,0","0,35","0,2","0,77","0,96","1,99","2,91","3,45","1,76","2,25","2,59","1,61","0,37","0,58","1,82","4,87","16,62","21,67","35,03","60,95","70,75","36,68","28,15","18,57","15,9","11,39","8,04","6,43","7,19","6,17","5,04","3,62","3,79","2,72","3,22","6,24","7,93","8,99","15,44","26,33","34,51","33,49","39,7","28,24"
gorzowski,lubuskie,"0,0","0,0","0,11","0,23","0,06","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,09","0,4","0,11","0,34","1,79","3,36","0,69","0,17","1,96","1,53","1,16","2,61","2,96","6,39","14,01","23,69","41,34","51,76","49,35","41,9","48,21","36,57","35,08","33,55","29,21","26,62","26,58","28,04","20,57","19,03","17,22","20,4","25,4","36,59","40,65","60,31","63,49","67,22","68,72","49,21","40,91","28,88"
gostyniński,mazowieckie,"0,0","0,0","0,0","0,27","0,05","0,18","0,46","0,0","0,18","0,32","0,23","0,27","0,27","0,27","1,77","1,55","0,23","3,59","9,0","13,04","6,5","1,59","0,0","0,0","0,32","0,55","0,09","0,09","0,73","2,5","6,64","10,32","19,73","41,41","60,23","47,54","32,82","29,64","26,32","24,18","17,59","16,59","13,05","12,09","10,05","6,59","6,59","5,64","7,64","8,77","10,14","11,41","13,41","15,63","27,82","34,54","26,0","27,73","24,31"
gostyński,wielkopolskie,"0,0","0,0","0,0","0,48","0,94","0,11","0,16","0,0","0,0","0,0","0,0","0,0","0,19","0,08","0,11","0,0","0,46","1,43","2,2","0,14","0,81","1,21","1,13","0,91","0,97","0,84","10,62","19,57","9,92","6,59","13,77","28,2","56,43","80,66","70,65","56,78","35,78","25,86","18,52","15,0","14,06","10,4","13,2","13,96","17,07","12,31","6,94","5,22","4,44","8,28","10,97","11,26","13,6","20,89","29,76","41,19","36,59","35,49","30,23"
gołdapski,warmińsko-mazurskie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,92","2,29","0,0","0,0","0,38","9,48","13,99","16,36","51,85","49,86","62,78","52,53","35,33","33,03","28,52","27,07","23,17","26,58","22,86","25,23","19,5","13,76","14,07","14,84","19,88","18,05","19,04","22,17","37,39","41,52","37,7","36,48","20,45"
grajewski,podlaskie,"0,0","0,0","0,0","0,0","0,0","0,43","0,17","0,0","0,0","0,0","0,0","0,0","0,13","5,49","7,18","4,8","3,54","0,82","0,91","1,95","2,68","4,58","6,61","5,27","0,82","0,09","0,6","0,91","1,12","0,17","0,74","2,9","7,13","19,88","40,29","27,8","32,46","39,55","28,27","16,99","14,27","15,48","16,95","13,72","11,2","11,59","8,47","9,38","15,09","14,44","18,46","40,64","43,36","37,74","40,16","32,85","20,83","21,1","8,77"
grodziski (mazowieckie),mazowieckie,"0,0","0,36","1,06","0,96","0,28","0,79","1,32","0,62","0,36","0,32","0,04","0,11","0,21","0,34","0,21","0,51","0,39","0,15","1,13","0,91","1,32","1,13","2,81","2,68","0,83","1,85","1,02","1,49","2,83","3,47","5,76","15,82","26,71","12,02","23,93","56,78","58,97","59,76","47,55","30,54","33,13","32,39","28,71","29,8","30,54","17,76","18,23","25,35","26,29","35,81","49,72","69,99","86,34","102,87","108,04","105,48","68,88","55,57","33,94"
grodziski (wielkopolskie),wielkopolskie,"0,0","0,0","0,24","0,2","0,12","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,24","0,31","0,0","0,08","0,4","1,97","1,3","0,12","0,04","0,63","3,34","5,04","7,87","23,28","42,95","76,85","101,86","69,41","46,52","31,86","21,43","17,23","19,11","21,87","20,92","25,21","22,77","16,32","11,56","10,93","8,73","13,09","13,57","16,56","24,74","37,8","45,42","50,18","48,26","35,18"
grudziądzki,kujawsko-pomorskie,"0,0","0,0","0,0","0,0","0,0","0,0","0,61","0,77","0,05","0,0","0,0","0,0","0,0","0,0","0,15","0,21","0,0","0,0","0,0","0,56","0,51","0,0","0,21","0,46","0,05","0,61","0,81","0,36","0,66","3,35","10,5","19,27","24,14","44,12","50,77","47,06","47,07","49,15","46,41","43,92","55,54","55,18","42,76","45,62","45,19","25,66","22,01","18,87","19,07","23,59","20,64","28,2","37,38","53,46","67,3","67,81","43,47","37,53","27,69"
gryficki,zachodniopomorskie,"0,0","0,0","0,2","4,71","7,85","2,98","0,78","0,34","5,22","3,01","0,85","0,14","0,0","0,1","0,14","0,0","0,0","0,0","0,0","0,0","0,1","0,78","0,34","0,44","0,07","0,54","0,34","0,1","0,34","1,52","6,87","9,35","14,42","34,4","50,58","60,67","44,83","41,54","43,3","43,88","43,98","36,77","29,8","39,54","37,21","22,38","15,0","16,15","11,68","12,39","12,63","12,32","14,25","22,38","37,48","45,81","33,38","39,31","34,7"
gryfiński,zachodniopomorskie,"0,0","0,0","0,2","0,47","1,45","1,6","1,12","0,57","0,15","0,02","0,0","0,0","0,07","0,25","0,45","0,3","0,15","0,0","0,0","0,0","0,07","0,52","0,72","0,3","0,65","0,95","0,95","0,4","0,5","2,24","4,84","8,85","14,13","17,07","23,55","36,69","65,38","58,82","48,05","52,61","56,7","60,04","46,01","46,29","50,77","43,82","32,3","21,83","12,49","13,83","15,8","16,6","13,81","23,21","39,75","42,62","35,94","36,39","29,41"
grójecki,mazowieckie,"0,73","2,24","5,6","6,35","16,86","5,38","2,39","1,12","2,78","0,65","0,19","0,67","0,89","0,94","1,49","1,33","0,77","0,44","0,34","0,29","0,54","1,04","0,85","1,1","0,83","0,96","0,77","0,21","0,79","3,11","3,74","6,19","11,35","24,5","45,17","35,71","26,49","28,85","18,58","23,1","25,39","24,97","22,4","34,25","34,08","27,4","18,06","17,87","17,59","24,06","32,57","38,8","42,58","47,97","57,44","69,87","43,28","39,51","25,6"
górowski,dolnośląskie,"0,0","0,29","2,05","3,1","2,75","1,82","1,11","1,0","0,18","0,0","0,0","0,18","0,23","0,0","0,0","0,0","0,0","0,29","0,41","0,12","-0,12","-0,12","0,23","0,0","1,64","1,23","0,0","0,0","0,0","1,29","2,58","5,68","16,39","31,72","45,36","66,25","55,66","36,58","37,63","27,8","19,43","12,0","15,63","19,26","12,64","7,96","5,56","5,68","5,62","5,8","6,61","11,47","13,46","26,22","36,76","53,38","52,15","60,28","46,46"
głogowski,dolnośląskie,"0,0","0,0","0,48","0,21","0,3","-0,02","0,55","0,09","0,07","0,37","0,37","0,0","0,0","0,0","0,0","0,0","0,05","0,18","0,09","0,11","0,27","0,18","0,3","0,3","0,34","0,09","0,0","0,69","1,37","2,52","6,28","17,36","29,07","42,76","58,82","61,18","82,77","50,09","37,2","21,19","17,22","12,6","11,18","13,39","15,73","11,38","9,55","8,5","5,29","6,69","9,92","17,16","21,16","39,94","62,3","83,62","75,81","71,55","50,44"
głubczycki,opolskie,"0,0","0,0","0,22","0,09","0,67","1,25","0,27","0,0","0,4","0,31","0,22","0,13","0,27","0,54","0,22","6,05","9,68","0,85","1,03","0,54","3,41","3,09","4,66","4,12","3,58","3,45","3,5","9,05","19,89","7,75","3,81","24,33","19,4","31,85","40,55","72,22","117,47","112,05","74,77","64,6","37,45","50,45","38,89","17,14","17,11","19,76","17,74","18,99","13,44","10,8","16,44","13,75","17,47","33,38","47,13","70,83","58,06","53,14","45,47"
hajnowski,podlaskie,"0,0","0,0","0,0","0,19","1,68","0,77","0,53","0,53","0,0","0,0","1,63","3,74","0,67","0,0","0,29","0,05","0,0","0,0","0,24","0,58","0,19","0,0","0,0","0,15","0,19","0,38","0,29","0,34","0,58","2,2","10,01","13,7","26,1","40,52","62,22","84,97","72,8","44,98","31,37","27,21","22,03","17,91","16,04","17,93","21,74","35,11","30,36","16,67","18,73","20,55","23,47","23,04","28,98","28,59","32,57","25,43","22,46","22,18","13,21"
hrubieszowski,lubelskie,"0,0","0,0","0,03","1,07","0,03","0,1","0,13","0,0","0,0","0,0","0,1","0,13","0,0","0,0","0,0","0,16","0,07","0,0","0,16","0,13","1,85","2,34","0,68","0,07","2,08","3,73","1,59","2,14","1,2","1,33","1,88","4,12","8,67","20,91","33,67","60,34","55,82","42,6","27,47","24,94","21,07","22,28","16,04","17,62","16,11","10,49","7,24","6,23","4,87","4,38","10,72","17,41","31,5","53,94","66,54","82,35","61,47","54,3","37,92"
inowrocławski,kujawsko-pomorskie,"0,0","0,0","0,0","0,1","0,17","0,13","0,05","0,05","0,05","0,33","0,01","0,0","0,0","0,0","0,08","0,15","0,24","0,06","0,31","0,05","0,18","0,18","0,3","0,33","0,44","1,57","1,07","1,1","2,2","4,84","14,56","31,77","29,97","46,06","61,13","62,79","56,2","46,32","41,2","36,51","33,65","40,16","36,87","39,54","29,99","18,67","15,2","14,42","17,42","24,69","34,92","39,46","47,1","58,32","71,73","76,29","55,23","45,86","29,05"
iławski,warmińsko-mazurskie,"0,0","0,0","0,04","0,62","2,33","2,22","0,17","0,0","0,06","0,09","0,0","0,0","0,0","0,0","0,06","0,15","0,17","0,22","0,31","2,0","1,69","1,17","0,68","0,44","0,49","3,05","3,25","1,78","3,76","8,13","12,06","12,63","17,25","19,05","30,28","32,32","42,43","59,28","51,44","51,55","45,24","37,73","30,45","35,09","30,28","15,89","13,34","19,45","19,69","24,76","38,08","56,03","59,77","63,81","61,88","47,73","31,35","29,9","21,63"
janowski,lubelskie,"0,89","1,12","0,13","-0,04","-0,09","0,36","0,27","0,0","0,0","0,0","0,0","0,0","0,0","0,09","0,22","0,0","0,0","0,04","0,27","0,0","0,22","0,4","0,0","0,0","0,58","1,7","0,22","0,54","3,3","9,06","13,53","19,06","25,49","43,49","79,25","53,17","43,71","33,75","19,11","10,27","9,24","9,82","7,23","7,76","10,8","7,37","7,5","7,68","5,27","3,93","5,85","9,02","17,32","23,66","32,5","49,78","45,32","51,66","44,0"
jarociński,wielkopolskie,"0,0","0,03","0,17","0,31","1,0","0,14","0,34","0,0","0,0","0,0","0,06","0,29","0,2","0,06","0,0","0,11","1,46","1,69","1,6","1,43","0,29","0,14","0,29","1,11","1,03","0,51","1,23","1,29","1,74","3,19","6,24","15,17","29,89","75,0","75,49","65,22","45,34","29,83","24,81","19,88","16,23","16,86","11,44","12,31","17,11","13,15","11,04","7,87","7,56","10,47","13,46","19,96","28,09","43,26","61,77","65,42","60,86","49,08","28,42"
jarosławski,podkarpackie,"0,0","0,0","0,09","0,34","0,05","0,0","0,0","0,26","0,58","0,0","0,0","0,08","0,51","0,66","6,25","6,53","7,52","9,08","14,6","8,4","5,97","7,2","5,38","5,35","4,06","2,9","2,37","1,15","1,29","3,09","9,74","19,67","33,98","46,86","54,53","58,37","35,81","36,76","23,4","10,4","13,02","10,33","9,22","17,82","15,92","8,06","7,86","5,6","8,66","13,14","22,84","30,55","40,1","56,13","64,85","64,44","54,19","42,24","27,11"
jasielski,podkarpackie,"0,0","0,02","0,16","0,27","1,13","1,15","0,38","0,04","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,04","0,16","0,06","0,04","0,09","0,04","0,49","1,17","1,04","0,27","0,88","1,08","0,66","1,15","2,21","2,28","9,07","21,87","38,19","55,49","65,16","27,94","33,01","30,92","7,54","9,36","8,87","5,18","17,69","16,31","4,87","6,37","8,99","7,31","8,58","8,78","10,07","17,38","24,84","37,15","37,92","28,87","26,78","20,37"
jaworski,dolnośląskie,"0,0","0,0","0,0","0,17","0,12","0,04","0,66","1,3","0,12","1,26","1,14","1,39","0,08","0,0","0,0","0,0","0,0","0,0","0,0","0,21","0,29","0,08","0,0","-0,17","0,49","0,45","0,53","0,45","3,99","3,59","1,83","7,86","16,41","23,62","28,87","54,12","50,29","35,47","37,46","30,42","20,07","16,78","11,65","11,07","14,54","15,88","14,37","8,51","7,94","9,32","9,98","12,3","14,05","27,08","41,66","59,98","53,02","58,27","48,29"
jeleniogórski,dolnośląskie,"0,0","0,0","0,13","0,87","3,02","3,63","3,43","10,88","0,68","-0,38","2,79","2,6","0,0","0,26","5,49","2,34","0,19","0,25","0,0","0,0","0,0","0,0","0,13","1,19","0,83","0,32","0,19","1,09","0,54","0,86","1,41","4,27","9,15","15,18","47,76","62,68","42,52","40,79","25,87","17,23","16,11","20,28","21,82","17,22","12,0","14,28","11,55","10,3","7,73","6,93","10,17","12,39","19,26","28,95","59,34","79,43","58,76","52,44","44,89"
jędrzejowski,świętokrzyskie,"0,0","0,12","0,05","0,19","0,29","0,05","0,31","0,31","0,02","0,0","0,09","0,38","0,12","0,07","0,0","0,48","0,41","0,12","0,0","0,21","0,31","1,65","1,96","1,0","1,55","0,84","0,26","0,62","1,96","1,58","5,26","16,99","27,61","31,24","42,48","40,88","34,73","95,4","23,33","15,8","12,02","9,15","8,22","7,25","8,03","5,16","5,45","6,31","6,0","6,12","12,91","19,58","25,15","38,79","51,75","61,62","43,48","36,52","31,12"
