,,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna
date,,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
Kraków,małopolskie,"0,02","0,09","0,48","0,9","0,74","0,73","0,73","0,5","0,32","0,24","0,09","0,05","0,04","0,37","0,27","0,37","0,33","0,2","0,36","0,74","1,3","2,76","3,88","4,93","4,19","3,98","3,85","2,55","3,42","5,27","10,87","38,75","58,08","57,39","65,22","96,87","60,09","48,23","22,36","20,39","16,45","14,95","12,75","14,64","14,41","12,77","10,32","10,68","9,36","12,28","18,23","28,63","42,66","58,39","75,74","90,84","68,33","61,15","42,52"
Krosno,podkarpackie,"0,0","0,0","0,0","0,0","0,62","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,27","0,4","1,9","1,59","1,59","0,44","0,0","0,4","0,44","2,51","5,33","11,73","24,03","35,23","60,0","69,13","68,6","37,78","22,13","14,02","22,0","10,05","4,98","10,7","12,34","7,54","8,82","13,62","14,46","14,42","26,67","37,21","47,04","47,79","63,22","58,99","40,16","34,04","25,68"
Legnica,dolnośląskie,"0,0","0,0","0,0","0,0","0,0","0,33","0,66","0,97","1,13","1,56","1,01","1,83","1,62","0,74","0,08","0,0","0,0","0,0","0,37","0,51","0,58","0,64","0,88","0,6","0,27","0,25","0,68","1,01","1,52","3,92","6,7","14,03","23,21","24,87","31,14","34,0","66,82","41,51","24,47","24,67","20,54","14,87","12,12","10,69","8,75","11,42","12,02","12,02","10,29","9,68","12,8","18,79","24,42","37,72","49,77","67,4","63,16","61,73","46,7"
Leszno,wielkopolskie,"0,0","0,0","0,0","0,77","1,73","1,93","0,74","0,22","0,0","0,0","0,13","0,22","0,09","0,0","0,0","0,0","0,22","0,0","0,22","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","73,02","115,72","92,36","72,18","61,38","41,91","31,11","23,49","21,37","19,35","16,68","15,2","9,51","8,16","8,32","6,55","8,2","16,23","18,99","25,13","45,6","65,56","82,62","73,88","65,17","33,47"
Lublin,lubelskie,"0,0","0,0","0,0","1,38","0,84","0,38","0,3","0,28","0,09","0,06","0,02","0,44","0,18","0,07","0,02","0,07","0,03","0,0","0,43","0,35","0,25","0,59","1,25","1,37","0,99","1,48","1,04","1,86","3,54","5,53","9,16","20,62","31,64","50,82","86,59","82,28","66,72","59,16","41,64","30,24","32,43","31,55","26,92","26,86","23,97","18,09","18,24","16,7","16,18","17,12","20,33","22,91","27,06","33,54","42,23","53,05","42,97","43,79","30,89"
Mysłowice,śląskie,"0,0","0,08","0,71","0,44","1,34","1,26","1,59","2,41","2,82","2,16","3,34","2,08","0,55","0,3","0,96","0,79","0,77","0,52","1,07","0,85","1,5","1,61","3,72","3,12","2,79","1,18","2,13","1,61","2,13","4,21","3,83","6,67","13,76","15,89","46,44","100,24","41,9","27,02","20,1","21,17","13,59","12,17","12,33","14,36","15,67","16,98","9,55","9,11","10,69","13,43","20,54","30,39","43,38","57,82","71,0","89,6","71,36","65,75","48,44"
Nowy Sącz,małopolskie,"0,0","0,0","0,44","1,44","0,22","0,12","0,29","0,75","0,97","0,32","0,22","0,0","0,0","0,0","0,0","0,07","1,8","2,53","4,29","6,19","9,91","9,55","56,0","17,44","15,9","6,58","1,68","2,22","3,56","5,77","8,14","19,92","25,99","62,08","82,3","67,51","47,54","18,68","14,59","15,25","5,82","8,96","6,99","8,18","7,62","5,29","3,46","3,26","5,53","7,72","13,35","18,68","23,04","28,4","35,85","45,62","35,19","30,01","21,17"
Olsztyn,warmińsko-mazurskie,"0,0","0,07","0,41","0,1","0,26","0,19","0,07","0,07","0,61","0,29","0,0","0,0","0,0","0,0","0,51","0,2","0,03","0,0","0,0","0,31","0,48","1,07","1,35","0,84","0,78","0,69","1,59","2,78","2,85","2,4","6,21","13,99","25,36","29,68","50,22","51,99","68,65","72,52","65,3","67,2","67,76","62,49","57,94","61,03","52,85","34,91","35,19","41,89","55,17","82,28","98,99","115,27","112,57","105,36","86,79","73,17","42,11","35,04","19,52"
Opole,opolskie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,14","1,86","0,13","0,35","0,42","0,67","1,23","1,85","1,62","0,94","0,91","0,63","1,98","2,01","1,72","4,8","12,77","28,32","44,25","53,65","55,36","55,42","55,1","44,55","33,71","29,78","25,29","21,33","22,83","23,64","19,54","16,13","15,32","12,35","13,98","19,3","26,29","34,38","52,76","70,25","83,48","59,76","60,12","46,75"
Ostrołęka,mazowieckie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","9,41","13,8","12,35","11,96","14,78","10,98","12,03","15,45","13,84","11,33","12,07","10,66","12,55","19,53","37,44","44,93","55,98","74,96","72,84","47,75","47,36","29,69"
