Gmina,Powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,Województwo,Grupa wiekowa,Liczba ludności,Pacjenci w pełni zaszczepieni,% pacjentów zaszczepionych pełną dawką,Pacjenci zaszczepieni przynajmniej jedną dawką
gm.w. Burzenin,sieradzki,490,23,327,626,446,łódzkie,:,5498,1081,"19,66%",1912
gm.m-w. Mogielnica,grójecki,789,35,437,830,704,mazowieckie,:,8579,1687,"19,66%",2795
gm.w. Stanisławów,miński,442,39,494,824,521,mazowieckie,:,6797,1336,"19,66%",2320
gm.m-w. Trzcianka,czarnkowsko-trzcianecki,1982,162,1626,3000,2032,wielkopolskie,:,24224,4762,"19,66%",8802
gm.w. Bobrowice,krośnieński,250,31,217,408,291,lubuskie,:,3161,621,"19,65%",1197
gm.m-w. Ozimek,opolski,1523,107,1196,2081,1468,opolskie,:,19449,3822,"19,65%",6375
gm.w. Markuszów,puławski,227,7,131,291,207,lubelskie,:,2943,578,"19,64%",863
gm.m-w. Myślenice,myślenicki,2979,465,3609,5530,3026,małopolskie,:,44519,8742,"19,64%",15609
gm.w. Kruszyna,częstochowski,318,32,288,625,323,śląskie,:,4802,943,"19,64%",1586
gm.m-w. Nowy Korczyn,buski,604,22,299,601,477,świętokrzyskie,:,5788,1137,"19,64%",2003
gm.m-w. Mieszkowice,gryfiński,531,29,420,810,603,zachodniopomorskie,:,7020,1379,"19,64%",2393
gm.m-w. Dobrzyca,pleszewski,659,58,529,975,681,wielkopolskie,:,8093,1589,"19,63%",2902
gm.w. Boguty-Pianki,ostrowski,242,8,133,265,209,mazowieckie,:,2558,502,"19,62%",857
gm.w. Czyże,hajnowski,267,4,59,118,110,podlaskie,:,1927,378,"19,62%",558
gm.m-w. Golina,koniński,906,77,821,1535,1039,wielkopolskie,:,12077,2370,"19,62%",4378
gm.w. Nowa Wieś Lęborska,lęborski,822,73,835,1627,1031,pomorskie,:,13786,2703,"19,61%",4388
gm.m-w. Przemków,polkowicki,640,67,425,906,728,dolnośląskie,:,8282,1623,"19,60%",2766
m. Bełchatów,bełchatowski,3815,348,3755,6485,6367,łódzkie,:,56419,11057,"19,60%",20770
gm.w. Marklowice,wodzisławski,454,39,366,608,318,śląskie,:,5417,1062,"19,60%",1785
gm.w. Żurawica,przemyski,798,89,781,1382,903,podkarpackie,:,12940,2535,"19,59%",3953
gm.m-w. Maków Podhalański,suski,1218,112,1172,1835,1131,małopolskie,:,15952,3122,"19,57%",5468
gm.m-w. Suraż,białostocki,174,4,105,196,120,podlaskie,:,1937,379,"19,57%",599
gm.w. Radzanów,mławski,260,12,157,349,254,mazowieckie,:,3262,638,"19,56%",1032
gm.m-w. Mikstat,ostrzeszowski,412,18,333,585,400,wielkopolskie,:,5990,1171,"19,55%",1748
gm.w. Wierzbno,węgrowski,270,16,112,256,257,mazowieckie,:,2718,531,"19,54%",911
gm.w. Koczała,człuchowski,223,9,162,285,360,pomorskie,:,3327,650,"19,54%",1039
gm.w. Krzeszyce,sulęciński,331,28,283,512,377,lubuskie,:,4711,920,"19,53%",1531
gm.w. Podedwórze,parczewski,147,3,68,114,146,lubelskie,:,1593,311,"19,52%",478
gm.w. Lisewo,chełmiński,394,30,288,530,432,kujawsko-pomorskie,:,5181,1011,"19,51%",1674
gm.w. Dobromierz,świdnicki,394,38,299,633,500,dolnośląskie,:,5173,1008,"19,49%",1864
gm.w. Izbica,krasnostawski,787,25,378,813,613,lubelskie,:,8028,1565,"19,49%",2616
gm.w. Tarnów,tarnowski,1680,220,1759,3104,1662,małopolskie,:,26224,5110,"19,49%",8425
gm.w. Mykanów,częstochowski,1091,108,1026,1952,1209,śląskie,:,15164,2955,"19,49%",5386
gm.w. Leśna Podlaska,bialski,308,11,243,463,310,lubelskie,:,4246,827,"19,48%",1335
gm.w. Strzyżewice,lubelski,554,37,480,878,566,lubelskie,:,8127,1583,"19,48%",2515
gm.m-w. Szczawnica,nowotarski,569,27,354,751,559,małopolskie,:,7145,1392,"19,48%",2260
gm.w. Wyszki,bielski,491,30,179,367,303,podlaskie,:,4302,838,"19,48%",1370
gm.w. Giby,sejneński,245,5,122,236,199,podlaskie,:,2685,523,"19,48%",807
gm.w. Banie Mazurskie,gołdapski,318,16,183,370,326,warmińsko-mazurskie,:,3614,704,"19,48%",1213
gm.w. Kęsowo,tucholski,316,35,308,442,410,kujawsko-pomorskie,:,4468,870,"19,47%",1511
gm.w. Grębocice,polkowicki,371,43,365,642,430,dolnośląskie,:,5427,1056,"19,46%",1851
gm.w. Magnuszew,kozienicki,498,38,441,733,584,mazowieckie,:,6706,1304,"19,45%",2294
gm.w. Hajnówka,hajnowski,337,15,135,285,287,podlaskie,:,3817,742,"19,44%",1059
gm.w. Jasionówka,moniecki,223,8,119,270,181,podlaskie,:,2711,527,"19,44%",801
gm.m-w. Radzymin,wołomiński,1483,347,2357,3955,1956,mazowieckie,:,27882,5417,"19,43%",10098
gm.w. Turawa,opolski,661,79,641,1120,666,opolskie,:,10029,1949,"19,43%",3167
gm.m-w. Lubraniec,włocławski,934,79,741,1252,844,kujawsko-pomorskie,:,9318,1810,"19,42%",3850
gm.w. Spiczyn,łęczyński,390,37,330,597,383,lubelskie,:,5823,1131,"19,42%",1737
gm.w. Dąbrowa Zielona,częstochowski,360,9,165,372,335,śląskie,:,3848,747,"19,41%",1241
gm.m-w. Krośniewice,kutnowski,700,21,428,917,706,łódzkie,:,8239,1598,"19,40%",2772
gm.w. Pabianice,pabianicki,441,62,602,1100,578,łódzkie,:,7770,1507,"19,40%",2783
gm.w. Smołdzino,słupski,253,19,212,360,320,pomorskie,:,3382,656,"19,40%",1164
gm.m-w. Korfantów,nyski,612,67,520,926,695,opolskie,:,8639,1675,"19,39%",2820
gm.m-w. Kleszczele,hajnowski,267,7,80,172,157,podlaskie,:,2408,467,"19,39%",683
gm.w. Szczecinek,szczecinecki,592,81,560,1079,785,zachodniopomorskie,:,9221,1788,"19,39%",3097
gm.w. Czerwonka,makowski,177,8,146,258,214,mazowieckie,:,2632,510,"19,38%",803
gm.m-w. Józefów,biłgorajski,601,10,267,531,476,lubelskie,:,6706,1299,"19,37%",1885
gm.m-w. Wyśmierzyce,białobrzeski,198,20,197,348,214,mazowieckie,:,2767,536,"19,37%",977
gm.w. Padew Narodowa,mielecki,375,27,290,504,339,podkarpackie,:,5358,1038,"19,37%",1535
gm.w. Orla,bielski,333,3,74,149,155,podlaskie,:,2638,511,"19,37%",714
gm.w. Szemud,wejherowski,782,218,1476,2505,1050,pomorskie,:,18620,3606,"19,37%",6031
gm.m-w. Małogoszcz,jędrzejowski,868,60,787,1360,956,świętokrzyskie,:,11495,2227,"19,37%",4031
gm.m-w. Szubin,nakielski,1842,274,2167,3431,2081,kujawsko-pomorskie,:,24917,4823,"19,36%",9795
gm.w. Garbów,lubelski,573,53,564,942,630,lubelskie,:,9048,1752,"19,36%",2762
gm.m-w. Otyń,nowosolski,442,73,598,959,525,lubuskie,:,7079,1370,"19,35%",2597
gm.w. Wilga,garwoliński,450,44,370,628,402,mazowieckie,:,5261,1018,"19,35%",1894
gm.w. Suwałki,suwalski,417,55,498,946,490,podlaskie,:,7826,1514,"19,35%",2406
gm.w. Wądroże Wielkie,jaworski,337,38,261,475,364,dolnośląskie,:,3888,752,"19,34%",1475
gm.w. Tuczna,bialski,271,4,109,209,193,lubelskie,:,2958,572,"19,34%",786
gm.w. Trzcinica,kępiński,432,36,327,594,352,wielkopolskie,:,4934,954,"19,34%",1741
gm.w. Rogowo,rypiński,367,16,306,470,425,kujawsko-pomorskie,:,4770,922,"19,33%",1584
gm.w. Łyszkowice,łowicki,517,41,413,766,504,łódzkie,:,6631,1282,"19,33%",2241
gm.w. Sabnie,sokołowski,305,3,164,292,323,mazowieckie,:,3574,691,"19,33%",1087
gm.m-w. Zabłudów,białostocki,630,63,554,1041,640,podlaskie,:,9386,1814,"19,33%",2928
gm.w. Przywidz,gdański,391,56,383,728,448,pomorskie,:,5997,1159,"19,33%",2006
gm.w. Kobyla Góra,ostrzeszowski,413,41,390,693,523,wielkopolskie,:,6135,1186,"19,33%",2060
gm.m-w. Wąsosz,górowski,567,63,415,826,634,dolnośląskie,:,7064,1365,"19,32%",2505
gm.m-w. Baborów,głubczycki,465,38,370,646,491,opolskie,:,5901,1140,"19,32%",2010
gm.w. Głogów,głogowski,345,65,490,909,551,dolnośląskie,:,6845,1322,"19,31%",2360
gm.w. Oleśnica,oleśnicki,744,108,1228,1988,1040,dolnośląskie,:,14124,2728,"19,31%",5108
gm.w. Oława,oławski,872,121,1059,2008,1165,dolnośląskie,:,15218,2938,"19,31%",5225
gm.w. Jaktorów,grodziski,812,114,1029,1710,955,mazowieckie,:,12638,2441,"19,31%",4620
Jastrzębie-Zdrój,Jastrzębie-Zdrój,8986,869,5745,10905,6087,śląskie,:,88038,17002,"19,31%",32592
gm.w. Jarosław,jarosławski,748,90,702,1250,892,podkarpackie,:,13228,2553,"19,30%",3682
gm.w. Boćki,bielski,479,12,192,373,271,podlaskie,:,4099,791,"19,30%",1327
gm.w. Rokiciny,tomaszowski,548,38,396,664,430,łódzkie,:,6153,1187,"19,29%",2076
gm.m-w. Szadek,zduńskowolski,674,42,500,785,577,łódzkie,:,7287,1406,"19,29%",2578
gm.w. Wicko,lęborski,369,20,304,656,446,pomorskie,:,6034,1164,"19,29%",1795
gm.w. Orchowo,słupecki,326,17,216,430,341,wielkopolskie,:,3800,733,"19,29%",1330
gm.w. Miłki,giżycki,245,26,206,397,332,warmińsko-mazurskie,:,3703,714,"19,28%",1206
gm.m-w. Sieraków,międzychodzki,733,56,733,1120,805,wielkopolskie,:,8641,1666,"19,28%",3447
gm.m-w. Mikołajki,mrągowski,675,41,407,940,712,warmińsko-mazurskie,:,8079,1557,"19,27%",2775
gm.w. Nowa Sól,nowosolski,453,65,497,866,537,lubuskie,:,6992,1347,"19,26%",2418
gm.m-w. Sępopol,bartoszycki,478,40,340,618,546,warmińsko-mazurskie,:,6080,1171,"19,26%",2022
gm.m-w. Pisz,piski,2104,190,1497,2835,1905,warmińsko-mazurskie,:,27517,5301,"19,26%",8531
m. Zambrów,zambrowski,1735,102,1294,2137,1709,podlaskie,:,21921,4220,"19,25%",6977
gm.w. Grzmiąca,szczecinecki,371,26,269,484,408,zachodniopomorskie,:,4638,893,"19,25%",1558
gm.m-w. Chęciny,kielecki,1044,102,1083,1849,1256,świętokrzyskie,:,15031,2892,"19,24%",5334
gm.w. Skierniewice,skierniewicki,497,57,595,952,580,łódzkie,:,7635,1468,"19,23%",2681
gm.w. Jadów,wołomiński,510,37,463,798,526,mazowieckie,:,7433,1429,"19,23%",2334
gm.w. Ruda Maleniecka,konecki,301,6,172,270,247,świętokrzyskie,:,3052,587,"19,23%",996
gm.m-w. Zwierzyniec,zamojski,569,44,325,535,543,lubelskie,:,6599,1268,"19,22%",2016
gm.m-w. Opatówek,kaliski,910,64,728,1312,793,wielkopolskie,:,10787,2073,"19,22%",3807
gm.w. Błędów,grójecki,658,50,435,816,577,mazowieckie,:,7357,1413,"19,21%",2536
gm.w. Lipnik,opatowski,465,45,332,606,446,świętokrzyskie,:,5137,987,"19,21%",1894
gm.m-w. Dobre Miasto,olsztyński,1231,88,802,1503,1249,warmińsko-mazurskie,:,15723,3021,"19,21%",4873
gm.m-w. Czarna Woda,starogardzki,293,12,180,324,294,pomorskie,:,3131,601,"19,20%",1103
gm.w. Waganiec,aleksandrowski,330,25,294,470,341,kujawsko-pomorskie,:,4564,876,"19,19%",1460
gm.w. Popielów,opolski,680,55,525,788,608,opolskie,:,7969,1529,"19,19%",2656
gm.w. Czarna,łańcucki,708,65,736,1180,693,podkarpackie,:,11902,2284,"19,19%",3382
gm.w. Wąpielsk,rypiński,279,19,211,354,294,kujawsko-pomorskie,:,3953,758,"19,18%",1157
gm.w. Nowy Kawęczyn,skierniewicki,283,17,261,410,265,łódzkie,:,3373,647,"19,18%",1236
gm.m-w. Kalwaria Zebrzydow,wadowicki,1425,145,1670,2528,1421,małopolskie,:,20022,3840,"19,18%",7189
gm.w. Zaręby Kościelne,ostrowski,302,27,196,396,250,mazowieckie,:,3598,690,"19,18%",1171
gm.m-w. Annopol,kraśnicki,720,34,404,778,727,lubelskie,:,8483,1626,"19,17%",2663
gm.w. Kodrąb,radomszczański,393,23,301,522,343,łódzkie,:,4486,860,"19,17%",1582
gm.w. Dębnica Kaszubska,słupski,655,86,573,1097,787,pomorskie,:,9495,1820,"19,17%",3198
gm.m-w. Czempiń,kościański,874,92,1059,1579,1076,wielkopolskie,:,11531,2210,"19,17%",4680
gm.m-w. Bolków,jaworski,861,111,590,1102,989,dolnośląskie,:,10311,1976,"19,16%",3653
gm.m-w. Sośnicowice,gliwicki,611,82,718,1144,694,śląskie,:,8906,1706,"19,16%",3249
gm.w. Zawoja,suski,697,43,580,1011,641,małopolskie,:,9039,1731,"19,15%",2972
gm.m-w. Łosice,łosicki,944,42,494,1011,872,mazowieckie,:,10739,2057,"19,15%",3363
gm.m-w. Krzyż Wielkopolski,czarnkowsko-trzcianecki,750,55,489,942,722,wielkopolskie,:,8644,1655,"19,15%",2958
gm.w. Kostomłoty,średzki,486,54,481,860,588,dolnośląskie,:,7109,1361,"19,14%",2469
gm.w. Piszczac,bialski,510,32,428,727,451,lubelskie,:,7141,1367,"19,14%",2148
m. Wisła,cieszyński,880,67,631,1022,792,śląskie,:,11007,2107,"19,14%",3392
gm.w. Krzyżanowice,raciborski,866,63,688,1161,811,śląskie,:,11185,2141,"19,14%",3589
gm.w. Strzałkowo,słupecki,761,66,795,1336,771,wielkopolskie,:,10280,1968,"19,14%",3729
gm.m-w. Recz,choszczeński,421,35,299,536,494,zachodniopomorskie,:,5450,1043,"19,14%",1785
gm.w. Biała,wieluński,460,32,357,615,402,łódzkie,:,5396,1032,"19,13%",1866
m. Zawidów,zgorzelecki,361,30,186,421,371,dolnośląskie,:,4132,790,"19,12%",1369
gm.m-w. Sułkowice,myślenicki,845,163,1347,2044,1099,małopolskie,:,15061,2879,"19,12%",5498
gm.w. Teresin,sochaczewski,929,123,1015,1588,968,mazowieckie,:,11542,2207,"19,12%",4623
gm.m-w. Mszczonów,żyrardowski,917,73,694,1335,872,mazowieckie,:,11440,2187,"19,12%",3891
gm.w. Lubrza,prudnicki,333,44,272,460,360,opolskie,:,4283,819,"19,12%",1469
gm.m-w. Suchowola,sokólski,599,23,282,628,480,podlaskie,:,6765,1293,"19,11%",2012
gm.m-w. Pasłęk,elbląski,1538,124,1469,2213,1858,warmińsko-mazurskie,:,19205,3670,"19,11%",7202
gm.w. Łubianka,toruński,442,57,671,1006,557,kujawsko-pomorskie,:,7438,1421,"19,10%",2733
gm.w. Pokrzywnica,pułtuski,367,21,285,531,412,mazowieckie,:,5032,961,"19,10%",1616
gm.w. Gawłuszowice,mielecki,207,15,133,269,161,podkarpackie,:,2722,520,"19,10%",785
gm.w. Udanin,średzki,428,39,280,548,391,dolnośląskie,:,5014,957,"19,09%",1686
gm.w. Baranów,puławski,352,20,197,364,264,lubelskie,:,3830,731,"19,09%",1197
gm.w. Fabianki,włocławski,568,112,716,1464,821,kujawsko-pomorskie,:,10178,1942,"19,08%",3681
gm.w. Pniewy,grójecki,396,43,317,603,378,mazowieckie,:,4788,913,"19,07%",1737
gm.w. Młodzieszyn,sochaczewski,419,43,410,650,468,mazowieckie,:,5559,1060,"19,07%",1990
gm.w. Lubaczów,lubaczowski,581,53,485,948,520,podkarpackie,:,9168,1748,"19,07%",2587
gm.m-w. Pacanów,buski,746,26,422,817,591,świętokrzyskie,:,7269,1386,"19,07%",2602
gm.m-w. Oleśnica,staszowski,354,20,259,487,286,świętokrzyskie,:,3843,733,"19,07%",1406
gm.m-w. Nisko,niżański,1370,124,1221,2017,1426,podkarpackie,:,22186,4228,"19,06%",6158
gm.w. Andrzejewo,ostrowski,389,14,215,374,286,mazowieckie,:,4022,766,"19,05%",1278
gm.m-w. Grodzisk Wielkopol,grodziski,1450,124,1699,2704,1633,wielkopolskie,:,20095,3828,"19,05%",7610
gm.w. Białośliwie,pilski,350,32,245,464,397,wielkopolskie,:,4809,916,"19,05%",1488
gm.w. Sułów,zamojski,383,10,165,359,341,lubelskie,:,4401,838,"19,04%",1258
gm.m-w. Sulejów,piotrkowski,1237,105,1032,1911,1256,łódzkie,:,16308,3105,"19,04%",5541
gm.w. Olszanka,brzeski,388,23,336,545,401,opolskie,:,4874,928,"19,04%",1693
gm.w. Miejsce Piastowe,krośnieński,979,61,749,1266,866,podkarpackie,:,13705,2609,"19,04%",3921
gm.w. Suszec,pszczyński,709,108,1073,1672,879,śląskie,:,12469,2374,"19,04%",4441
gm.m-w. Wąchock,starachowicki,650,45,377,741,552,świętokrzyskie,:,6739,1283,"19,04%",2365
gm.w. Radwanice,polkowicki,314,39,362,633,428,dolnośląskie,:,4904,933,"19,03%",1776
gm.m-w. Strzyżów,strzyżowski,1361,95,1045,1785,1270,podkarpackie,:,20521,3905,"19,03%",5556
gm.w. Brzozie,brodnicki,259,11,210,404,266,kujawsko-pomorskie,:,3828,728,"19,02%",1150
gm.m-w. Bojanowo,rawicki,740,43,546,938,728,wielkopolskie,:,8710,1653,"18,98%",2995
gm.w. Trzebiel,żarski,425,37,341,659,471,lubuskie,:,5640,1070,"18,97%",1933
gm.w. Sieciechów,kozienicki,307,17,226,387,336,mazowieckie,:,3859,732,"18,97%",1273
gm.w. Szczaniec,świebodziński,249,31,247,463,291,lubuskie,:,3845,729,"18,96%",1281
m. Skórcz,starogardzki,227,19,213,464,317,pomorskie,:,3603,683,"18,96%",1240
gm.w. Łagiewniki,dzierżoniowski,621,47,442,782,676,dolnośląskie,:,7437,1409,"18,95%",2568
gm.w. Brzeźnio,sieradzki,547,31,386,725,463,łódzkie,:,6379,1209,"18,95%",2152
gm.w. Kotla,głogowski,278,48,270,567,344,dolnośląskie,:,4456,844,"18,94%",1507
gm.w. Borowa,mielecki,410,24,348,487,332,podkarpackie,:,5490,1040,"18,94%",1601
gm.m-w. Maszewo,goleniowski,574,53,516,983,642,zachodniopomorskie,:,8768,1661,"18,94%",2769
gm.m-w. Stepnica,goleniowski,331,29,298,596,449,zachodniopomorskie,:,4857,920,"18,94%",1703
gm.m-w. Knyszyn,moniecki,327,18,270,424,333,podlaskie,:,4713,892,"18,93%",1372
gm.w. Siepraw,myślenicki,462,76,766,1053,647,małopolskie,:,9070,1716,"18,92%",3004
gm.w. Radziemice,proszowicki,276,23,238,411,238,małopolskie,:,3329,630,"18,92%",1186
gm.w. Milówka,żywiecki,641,50,594,1032,649,śląskie,:,10040,1899,"18,91%",2966
gm.m-w. Barlinek,myśliborski,1641,169,1070,2117,1670,zachodniopomorskie,:,19220,3630,"18,89%",6667
gm.w. Kamieniec Ząbkowicki,ząbkowicki,626,38,476,820,741,dolnośląskie,:,8003,1511,"18,88%",2701
gm.w. Dalików,poddębicki,309,21,244,419,315,łódzkie,:,3920,740,"18,88%",1308
gm.m-w. Ćmielów,ostrowiecki,667,43,332,795,596,świętokrzyskie,:,7284,1375,"18,88%",2433
gm.m-w. Miłakowo,ostródzki,383,22,278,518,453,warmińsko-mazurskie,:,5372,1014,"18,88%",1654
gm.w. Bolesławiec,wieruszowski,326,26,273,428,316,łódzkie,:,4075,769,"18,87%",1369
gm.w. Czeremcha,hajnowski,335,9,103,249,263,podlaskie,:,3064,578,"18,86%",959
gm.w. Rząśnik,wyszkowski,485,19,403,778,484,mazowieckie,:,6987,1316,"18,84%",2169
gm.m-w. Wyrzysk,pilski,1015,59,733,1323,1205,wielkopolskie,:,13835,2606,"18,84%",4335
m. Lubawa,iławski,742,42,647,1146,789,warmińsko-mazurskie,:,10374,1953,"18,83%",3366
gm.w. Grodziczno,nowomiejski,448,22,328,651,445,warmińsko-mazurskie,:,6247,1176,"18,83%",1894
gm.w. Grabów,łęczycki,528,10,258,459,453,łódzkie,:,5829,1097,"18,82%",1708
gm.w. Krościenko nad Dunaj,nowotarski,551,29,359,695,456,małopolskie,:,6749,1270,"18,82%",2090
gm.w. Klwów,przysuski,270,14,153,293,275,mazowieckie,:,3364,633,"18,82%",1005
gm.w. Korycin,sokólski,258,16,160,232,205,podlaskie,:,3172,597,"18,82%",871
gm.w. Ciepłowody,ząbkowicki,209,26,183,309,258,dolnośląskie,:,2924,550,"18,81%",985
gm.w. Wojsławice,chełmski,318,6,167,304,293,lubelskie,:,3716,699,"18,81%",1088
gm.w. Telatyn,tomaszowski,361,9,155,298,273,lubelskie,:,3854,725,"18,81%",1096
gm.w. Kutno,kutnowski,640,41,681,1302,661,łódzkie,:,8753,1646,"18,81%",3325
gm.w. Werbkowice,hrubieszowski,883,37,442,822,716,lubelskie,:,9121,1715,"18,80%",2900
gm.w. Maków,skierniewicki,482,46,451,723,410,łódzkie,:,6005,1129,"18,80%",2112
gm.w. Łubowo,gnieźnieński,427,67,531,953,518,wielkopolskie,:,6783,1275,"18,80%",2496
gm.w. Lipno,leszczyński,452,65,707,1139,541,wielkopolskie,:,8658,1628,"18,80%",2904
gm.w. Malechowo,sławieński,431,46,401,706,516,zachodniopomorskie,:,6201,1166,"18,80%",2100
gm.w. Solec nad Wisłą,lipski,477,14,195,365,384,mazowieckie,:,4791,900,"18,79%",1435
gm.w. Wierzbica,radomski,636,47,445,961,739,mazowieckie,:,9608,1805,"18,79%",2828
gm.w. Somianka,wyszkowski,479,21,326,635,418,mazowieckie,:,5626,1057,"18,79%",1879
gm.m-w. Rogoźno,obornicki,1303,179,1430,2156,1598,wielkopolskie,:,18372,3452,"18,79%",6666
gm.w. Jabłoń,parczewski,317,24,184,365,282,lubelskie,:,3828,719,"18,78%",1172
gm.m-w. Frampol,biłgorajski,512,29,225,502,436,lubelskie,:,6059,1137,"18,77%",1704
gm.w. Przasnysz,przasnyski,472,48,548,856,537,mazowieckie,:,7204,1352,"18,77%",2461
gm.m-w. Barcin,żniński,1284,124,986,1824,1285,kujawsko-pomorskie,:,14720,2761,"18,76%",5503
gm.m-w. Dobczyce,myślenicki,846,122,1255,1856,1135,małopolskie,:,15346,2879,"18,76%",5214
gm.m-w. Sianów,koszaliński,831,126,892,1700,1193,zachodniopomorskie,:,13852,2598,"18,76%",4742
gm.w. Lubanie,włocławski,347,40,326,551,318,kujawsko-pomorskie,:,4550,853,"18,75%",1582
gm.m-w. Nakło nad Notecią,nakielski,2655,250,2471,4282,2807,kujawsko-pomorskie,:,31552,5913,"18,74%",12465
m. Radlin,wodzisławski,1366,185,1439,2206,1284,śląskie,:,17665,3311,"18,74%",6480
gm.w. Stare Miasto,koniński,782,105,806,1622,889,wielkopolskie,:,12497,2342,"18,74%",4204
gm.w. Głuchów,skierniewicki,479,38,393,581,374,łódzkie,:,5701,1068,"18,73%",1865
gm.w. Jakubów,miński,323,28,321,567,330,mazowieckie,:,5103,956,"18,73%",1569
gm.w. Dzierzkowice,kraśnicki,388,22,263,506,385,lubelskie,:,5236,980,"18,72%",1564
gm.m-w. Lubsko,żarski,1487,131,1191,2008,1635,lubuskie,:,18254,3415,"18,71%",6452
gm.m-w. Łochów,węgrowski,1273,109,1039,2008,1223,mazowieckie,:,17873,3344,"18,71%",5652
gm.m-w. Barwice,szczecinecki,596,44,443,842,699,zachodniopomorskie,:,8457,1582,"18,71%",2624
gm.w. Sławoborze,świdwiński,312,19,203,367,354,zachodniopomorskie,:,3977,744,"18,71%",1255
gm.w. Cieszków,milicki,348,19,265,477,394,dolnośląskie,:,4657,871,"18,70%",1503
gm.w. Olszewo-Borki,ostrołęcki,579,89,717,1298,722,mazowieckie,:,10789,2018,"18,70%",3405
gm.m-w. Błażowa,rzeszowski,811,63,527,949,578,podkarpackie,:,10835,2026,"18,70%",2928
gm.w. Nowe Ostrowy,kutnowski,286,15,192,432,278,łódzkie,:,3398,635,"18,69%",1203
gm.w. Lipce Reymontowskie,skierniewicki,317,19,240,368,283,łódzkie,:,3279,613,"18,69%",1227
gm.w. Gdów,wielicki,1087,141,1405,2333,1286,małopolskie,:,18388,3437,"18,69%",6252
gm.w. Kowiesy,skierniewicki,236,9,164,281,231,łódzkie,:,2880,538,"18,68%",921
gm.w. Lubsza,brzeski,684,47,554,934,773,opolskie,:,8997,1681,"18,68%",2992
gm.m-w. Niemcza,dzierżoniowski,494,25,259,512,473,dolnośląskie,:,5411,1010,"18,67%",1763
gm.w. Chojnice,chojnicki,1246,189,1345,2416,1436,pomorskie,:,19498,3640,"18,67%",6632
gm.w. Goleszów,cieszyński,1073,104,866,1532,1001,śląskie,:,13142,2453,"18,67%",4576
gm.m-w. Stawiszyn,kaliski,618,35,404,809,584,wielkopolskie,:,7074,1321,"18,67%",2450
gm.m-w. Łaszczów,tomaszowski,549,29,276,553,469,lubelskie,:,5915,1104,"18,66%",1876
gm.m-w. Zelów,bełchatowski,1261,73,703,1483,1197,łódzkie,:,14876,2776,"18,66%",4717
gm.w. Filipów,suwalski,339,10,195,343,318,podlaskie,:,4212,786,"18,66%",1205
gm.w. Ostrów Wielkopolski,ostrowski,1316,98,1195,2345,1364,wielkopolskie,:,19162,3576,"18,66%",6318
gm.w. Kaczory,pilski,551,58,538,934,598,wielkopolskie,:,7883,1471,"18,66%",2679
gm.w. Krasnosielc,makowski,485,19,327,561,430,mazowieckie,:,6283,1172,"18,65%",1822
gm.w. Wilkołaz,kraśnicki,393,30,336,525,391,lubelskie,:,5510,1027,"18,64%",1675
gm.m-w. Okonek,złotowski,743,48,490,939,690,wielkopolskie,:,8441,1573,"18,64%",2910
gm.m-w. Jaworzyna Śląska,świdnicki,741,75,723,1115,907,dolnośląskie,:,10222,1904,"18,63%",3561
gm.w. Trąbki Wielkie,gdański,639,125,798,1430,791,pomorskie,:,11242,2094,"18,63%",3783
gm.m-w. Zduny,krotoszyński,526,45,596,858,596,wielkopolskie,:,7558,1407,"18,62%",2621
gm.m-w. Międzylesie,kłodzki,547,28,345,629,623,dolnośląskie,:,7119,1325,"18,61%",2172
gm.w. Dołhobyczów,hrubieszowski,491,17,206,468,480,lubelskie,:,5265,980,"18,61%",1662
gm.w. Ozorków,zgierski,584,30,433,702,561,łódzkie,:,7051,1312,"18,61%",2310
gm.w. Rzeczniów,lipski,347,8,210,392,333,mazowieckie,:,4332,806,"18,61%",1290
gm.w. Grębków,węgrowski,368,6,163,341,317,mazowieckie,:,4401,819,"18,61%",1195
gm.m-w. Żarów,świdnicki,947,113,858,1407,1104,dolnośląskie,:,12335,2294,"18,60%",4429
gm.w. Dobroń,pabianicki,554,63,558,1006,567,łódzkie,:,7802,1451,"18,60%",2748
gm.w. Sońsk,ciechanowski,656,54,540,882,588,mazowieckie,:,7671,1427,"18,60%",2720
gm.m-w. Wołczyn,kluczborski,1095,73,739,1296,1020,opolskie,:,13329,2479,"18,60%",4223
gm.w. Lipowa,żywiecki,681,54,751,1310,793,śląskie,:,10872,2021,"18,59%",3589
gm.m-w. Gorzów Śląski,oleski,558,35,360,656,538,opolskie,:,7108,1321,"18,58%",2147
m. Ełk,ełcki,4469,487,3980,6397,4844,warmińsko-mazurskie,:,61903,11503,"18,58%",20177
gm.w. Przygodzice,ostrowski,927,91,768,1576,919,wielkopolskie,:,12232,2273,"18,58%",4281
gm.w. Grudusk,ciechanowski,302,19,197,336,294,mazowieckie,:,3535,656,"18,56%",1148
gm.w. Adamówka,przeworski,280,14,185,383,267,podkarpackie,:,4025,747,"18,56%",1129
gm.w. Narewka,hajnowski,339,16,118,278,295,podlaskie,:,3530,655,"18,56%",1046
gm.w. Popów,kłobucki,433,39,394,669,492,śląskie,:,5835,1083,"18,56%",2027
gm.w. Wola Mysłowska,łukowski,371,9,232,396,317,lubelskie,:,4584,850,"18,54%",1325
