Gmina,Powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,Województwo,Grupa wiekowa,Liczba ludności,Pacjenci w pełni zaszczepieni,% pacjentów zaszczepionych pełną dawką,Pacjenci zaszczepieni przynajmniej jedną dawką
gm.w. Bojadła,zielonogórski,285,21,202,414,311,lubuskie,:,3282,809,"24,65%",1233
m. Węgrów,węgrowski,1225,90,924,1638,1149,mazowieckie,:,12452,3070,"24,65%",5026
gm.w. Świeszyno,koszaliński,444,87,653,1201,664,zachodniopomorskie,:,7626,1880,"24,65%",3049
Biała Podlaska,Biała Podlaska,4524,425,4321,6839,5552,lubelskie,:,56942,14028,"24,64%",21661
gm.m-w. Władysławowo,pucki,1289,117,1404,2298,1549,pomorskie,:,15293,3768,"24,64%",6657
gm.m-w. Zbąszynek,świebodziński,688,46,545,1027,827,lubuskie,:,8273,2038,"24,63%",3134
gm.m-w. Gościno,kołobrzeski,421,30,378,644,508,zachodniopomorskie,:,5133,1264,"24,63%",1981
m. Imielin,bieruńsko-lędziński,750,135,929,1441,740,śląskie,:,9269,2282,"24,62%",3995
m. Krasnystaw,krasnostawski,1944,136,1290,2277,1893,lubelskie,:,18383,4522,"24,60%",7540
gm.m-w. Blachownia,częstochowski,1265,111,887,1736,1321,śląskie,:,12831,3157,"24,60%",5320
gm.m-w. Krzeszowice,krakowski,2954,305,2754,4396,2827,małopolskie,:,32104,7895,"24,59%",13236
gm.m-w. Pińczów,pińczowski,2073,162,1650,2715,2061,świętokrzyskie,:,20379,5010,"24,58%",8661
gm.w. Wyry,mikołowski,542,166,933,1451,593,śląskie,:,8600,2113,"24,57%",3685
gm.m-w. Szczekociny,zawierciański,817,48,460,854,819,śląskie,:,7538,1852,"24,57%",2998
m. Ustroń,cieszyński,1768,139,1172,1988,1393,śląskie,:,15989,3926,"24,55%",6460
gm.w. Bledzew,międzyrzecki,381,39,369,570,422,lubuskie,:,4281,1050,"24,53%",1781
m. Jawor,jaworski,2213,174,1597,2734,2588,dolnośląskie,:,22462,5508,"24,52%",9306
Jaworzno,Jaworzno,8113,939,7730,13075,8600,śląskie,:,90368,22139,"24,50%",38457
gm.w. Mierzęcice,będziński,751,89,706,1262,733,śląskie,:,7623,1867,"24,49%",3541
m. Ostróda,ostródzki,3380,241,2127,4283,3304,warmińsko-mazurskie,:,32714,8007,"24,48%",13335
gm.m-w. Kórnik,poznański,1835,505,3877,5624,2031,wielkopolskie,:,30909,7558,"24,45%",13872
gm.w. Sławatycze,bialski,193,12,147,224,191,lubelskie,:,2263,553,"24,44%",767
m. Bochnia,bocheński,2760,279,2380,3877,2511,małopolskie,:,29554,7217,"24,42%",11807
gm.w. Sztutowo,nowodworski,306,27,307,497,373,pomorskie,:,3622,884,"24,41%",1510
Chełm,Chełm,5956,484,3782,7462,6335,lubelskie,:,61135,14914,"24,40%",24019
gm.m-w. Golczewo,kamieński,452,36,407,661,588,zachodniopomorskie,:,5844,1426,"24,40%",2144
gm.w. Rudnik,krasnostawski,338,17,151,316,228,lubelskie,:,2973,725,"24,39%",1050
m. Górowo Iławeckie,bartoszycki,397,41,317,517,417,warmińsko-mazurskie,:,3887,948,"24,39%",1689
m. Lubań,lubański,2331,120,1330,2517,2002,dolnośląskie,:,20723,5053,"24,38%",8300
m. Racibórz,raciborski,4863,510,3864,6602,4567,śląskie,:,54259,13215,"24,36%",20406
gm.m-w. Stęszew,poznański,1219,145,1622,2458,1487,wielkopolskie,:,15125,3685,"24,36%",6931
gm.m-w. Bardo,ząbkowicki,441,50,449,578,466,dolnośląskie,:,5210,1268,"24,34%",1984
gm.m-w. Karczew,otwocki,1509,147,1403,2379,1636,mazowieckie,:,15930,3877,"24,34%",7074
gm.m-w. Choszczno,choszczeński,2096,184,1623,2737,2166,zachodniopomorskie,:,21529,5240,"24,34%",8806
gm.w. Wierzchlas,wieluński,596,33,506,886,526,łódzkie,:,6604,1607,"24,33%",2547
gm.m-w. Wieliczka,wielicki,4251,687,6578,9813,4526,małopolskie,:,61233,14898,"24,33%",25855
gm.m-w. Grodzisk Mazowieck,grodziski,4043,590,4907,7998,3957,mazowieckie,:,49948,12148,"24,32%",21495
gm.m-w. Wieruszów,wieruszowski,1321,111,1180,1936,1241,łódzkie,:,14184,3445,"24,29%",5789
gm.w. Malczyce,średzki,473,47,413,763,564,dolnośląskie,:,5881,1428,"24,28%",2260
gm.w. Rzewnie,makowski,251,8,151,330,239,mazowieckie,:,2591,629,"24,28%",979
m. Skarżysko-Kamienna,skarżyski,5114,294,2957,5144,4724,świętokrzyskie,:,44260,10746,"24,28%",18233
gm.w. Gietrzwałd,olsztyński,424,63,487,1058,587,warmińsko-mazurskie,:,6743,1637,"24,28%",2619
gm.m-w. Twardogóra,oleśnicki,1037,104,917,1627,1112,dolnośląskie,:,12889,3127,"24,26%",4797
m. Duszniki-Zdrój,kłodzki,555,30,214,504,411,dolnośląskie,:,4422,1072,"24,24%",1714
gm.m-w. Szamotuły,szamotulski,2644,338,3279,4867,2887,wielkopolskie,:,30188,7319,"24,24%",14015
gm.w. Zgierz,zgierski,1275,195,1238,2211,1338,łódzkie,:,14682,3557,"24,23%",6257
gm.w. Janowiec,puławski,330,24,248,418,336,lubelskie,:,3666,888,"24,22%",1356
gm.w. Babice,chrzanowski,800,68,734,1338,762,małopolskie,:,9084,2200,"24,22%",3702
gm.w. Wojciechów,lubelski,511,30,381,762,452,lubelskie,:,5957,1442,"24,21%",2136
m. Braniewo,braniewski,1424,141,1492,2275,1564,warmińsko-mazurskie,:,16974,4109,"24,21%",6896
m. Piechowice,jeleniogórski,636,47,372,731,617,dolnośląskie,:,6082,1471,"24,19%",2403
